"GFA","Occupancy","Age","NumBldgs","NumFloors","UnitsTotal","UnitsRes","ENERGYSTARScore","SourceEUI","SiteEUI"
170868,100,97,1,16,74,0,94,107.5,58.7
4000,100,90,1,15,41,39,NA,134.9,94.8
93275,90,89,1,17,50,1,90,141.1,66.5
55000,95,90,1,14,3,0,98,128,76.8
127000,100,95,1,16,19,0,69,212.4,110.1
142801,100,92,1,14,65,0,61,218,147.4
76355,100,91,1,14,22,0,99,98.3,59.1
95478,100,89,1,17,32,0,67,173.5,100.5
56901,100,91,1,16,20,2,NA,406.1,176.7
337383,100,107,1,17,0,0,93,126.8,50
65977,100,92,1,15,15,0,75,129,56.8
1462761,95,52,1,31,35,0,74,212.8,88.3
2300271,100,47,3,57,451,0,73,236.1,139.2
520916,100,88,1,22,139,0,88,136.6,57.9
481000,100,86,1,46,252,0,89,158.2,62.3
71467,100,93,1,16,0,0,NA,113.2,55.5
150620,100,93,1,17,34,0,77,175.9,109.2
112609,100,82,1,16,44,0,93,115.2,52.3
