"GFA","Occupancy","Age","NumBldgs","NumFloors","UnitsTotal","UnitsRes","ENERGYSTARScore","SourceEUI","SiteEUI"
9110,100,12,1,21,96,95,20,176.3,84.4
5100,100,30,1,26,191,185,33,172.5,91.3
10100,100,90,1,20,58,0,NA,185.2,77.4
5355,100,37,1,35,284,279,NA,151.9,87
179190,100,30,1,31,725,709,NA,171.3,91.3
470000,100,57,1,16,98,0,88,114.6,48.6
2000,100,60,1,19,196,193,NA,139.9,90.3
6429,100,56,1,16,125,120,NA,172,95.6
1200,100,53,1,21,271,259,NA,100.1,35
7200,100,62,1,14,132,130,51,169.7,109.5
27000,100,42,1,35,272,263,NA,180,95.6
1100,100,88,1,16,127,118,NA,123.6,73
10195,100,54,1,20,299,292,NA,127.1,80.8
10850,100,55,1,19,269,264,NA,118.5,66.2
2500,100,87,1,16,95,92,NA,129.4,92.8
4140,100,32,1,7,67,64,NA,90.7,40
8642,100,88,1,17,366,339,85,95.9,65
6758,100,56,1,16,167,162,50,152.6,95.6
8100,100,54,1,18,166,164,32,133.4,90.6
10200,100,53,1,21,185,183,NA,122.1,77.8
6957,100,39,1,26,327,325,49,139.4,80
8118,100,52,1,18,285,280,NA,151.8,97.3
22397,100,24,1,35,168,165,NA,158.3,62.5
2000,100,65,1,33,311,300,NA,76.4,26.9
5400,100,53,1,20,167,164,17,178.5,120.3
6800,100,62,1,19,153,148,74,114,61.9
11724,100,54,1,19,119,118,NA,170,124.5
5860,100,62,1,13,175,168,NA,163.9,99.7
6000,100,52,1,17,210,207,NA,129.3,79.9
8000,100,111,2,12,139,134,93,98.8,56
172800,100,10,1,21,209,207,NA,93.2,36.6
6035,100,107,1,19,99,98,1,266.4,115.5
8369,100,47,1,14,208,204,NA,149.2,89.3
63466,95,43,1,36,370,355,62,140.9,57.2
11127,100,55,1,16,201,200,75,121.2,70.6
4731,100,87,1,16,159,154,NA,93.1,58.8
7925,100,14,1,48,1,0,79,189.1,65.9
45653,10,110,1,16,3,0,5,202.5,91.7
6000,100,84,1,16,3,0,49,165.8,93.5
6079,95,35,1,40,43,0,79,211.5,74.4
5446,100,29,1,40,66,0,98,116.5,44.7
5764,100,17,1,12,85,0,58,193.1,84
169173,100,27,1,44,4,0,43,312.1,105.9
44281,100,49,1,51,71,0,NA,250.6,107.8
8654,100,107,1,13,3,0,49,225.4,146.7
93901,100,60,1,47,86,0,NA,144.5,62.5
44612,100,90,1,20,448,445,NA,243,130.1
18349,100,54,1,46,3,0,72,212.7,122.4
6000,100,94,1,15,59,54,18,171.2,98.8
25986,100,56,1,21,328,324,75,124.8,80.7
10000,100,91,1,16,80,0,68,187.2,76.4
31820,85,6,1,40,2,0,46,251,99.2
13352,100,97,1,15,656,652,74,218.2,110.9
31206,100,91,1,32,201,0,54,259,124
6183,100,11,1,43,220,218,NA,124.3,56.2
35000,100,14,1,52,465,464,NA,174.4,126.2
30034,100,11,1,25,138,137,13,225.7,83.8
54120,100,87,1,11,24,0,NA,98.6,49.9
1575,100,94,1,5,8,0,NA,464.6,199.3
6469,100,97,1,15,285,278,63,125.8,83.4
6960,100,57,1,20,387,381,69,108.9,65.9
8543,100,101,1,13,141,132,63,123.9,79.2
14702,100,14,1,43,395,394,2,225.8,142
44948,80,96,1,26,186,0,76,185.4,78.9
5600,100,104,1,13,71,61,NA,186.2,120.3
19482,100,90,1,25,21,0,80,173.6,67.7
10500,100,94,1,8,115,107,73,125.8,85
19089,100,29,14,39,656,654,34,138,72.5
9365,100,70,1,6,66,65,NA,172,95.8
8876,100,38,1,25,254,253,86,134.9,75.8
10000,100,75,1,6,109,102,35,137.5,73.3
4758,100,87,4,4,36,20,NA,99.4,78.8
8840,100,39,1,50,593,583,NA,138.7,87.8
9000,100,52,2,20,322,284,19,157.1,91.4
1300,100,89,1,16,108,103,NA,142.2,92.6
5665,100,30,1,56,298,296,2,229.5,95.2
10373,100,77,2,7,172,170,98,64.5,38.6
12393,100,15,1,40,264,262,16,171.6,108.8
28561,100,43,4,46,1705,1689,33,145.5,71.5
10237,100,53,1,9,36,58,1,328.8,176
12380,100,89,1,6,29,27,31,160.5,64.9
31153,100,112,1,12,24,0,74,193.9,69.2
11923,100,30,1,44,426,418,NA,136,75.2
15000,70,4,2,31,704,703,29,176.3,94
30000,100,97,1,6,2,0,NA,57.8,42.6
411845,100,88,1,8,2,0,NA,73.6,38.9
43336,0,1,1,43,711,709,NA,95.6,41.2
1510,100,36,2,35,325,322,NA,193,115.9
9253,0,96,1,11,6,0,NA,12.4,10.5
8373,100,35,1,30,167,166,40,151,82.8
2000,100,94,1,14,403,0,NA,155.7,53.9
10322,100,85,1,33,438,422,26,161.2,101.8
42059,100,37,1,33,479,471,12,201.5,116.5
74873,100,15,2,30,235,229,NA,202,105.5
21635,100,89,1,7,8,0,27,241.1,139.3
1500,100,93,1,10,58,58,NA,90.3,60.8
8505,100,34,1,31,175,173,35,160.1,82.1
2051,100,18,1,40,134,133,NA,147,76.4
3710,100,55,1,21,381,376,NA,137.1,92
75987,100,22,1,30,145,143,1,442.2,197.1
67460,100,22,1,32,295,205,NA,159.8,68.4
13799,100,18,1,10,76,0,NA,254.1,121.1
5044,100,32,1,27,79,75,NA,150.7,96.1
259032,95,24,1,47,276,271,NA,117.5,70.5
22356,100,33,1,34,681,680,36,167.3,114.1
7950,100,114,2,11,85,84,16,223.7,130.1
16234,100,94,1,19,320,303,68,123.5,70
6680,100,27,1,21,124,122,NA,116.9,64.1
2000,100,106,1,12,51,48,NA,114.8,85.7
5718,100,112,1,13,67,66,51,169.5,109.5
15975,100,112,1,12,66,59,NA,91.1,67.5
11715,100,112,1,12,80,75,NA,97.4,69.9
6800,100,95,1,15,181,180,32,213.4,138.9
6000,100,93,1,15,139,132,95,74.9,40.9
12672,100,26,1,35,381,381,13,206,135.2
30000,100,9,1,33,190,186,14,194,93.8
6000,100,91,1,16,233,229,33,195.3,124.2
5248,100,55,1,29,514,508,51,132.8,70
8067,100,53,1,29,570,561,41,125.6,64.8
26479,100,10,1,27,166,165,17,178.3,81.1
12000,100,46,1,41,395,387,16,168.5,97.9
1250,100,89,1,16,92,88,NA,114.5,80
21708,100,7,1,19,199,196,17,267.8,107
10843,100,91,1,22,265,259,NA,111,64.4
30000,100,27,1,21,202,201,19,189.5,99.6
50568,100,113,1,17,387,385,NA,199.7,132.6
14577,100,88,1,27,67,62,52,157.9,69.1
57420,100,6,1,18,55,69,69,145.6,50.5
20550,100,116,1,12,101,100,NA,148.2,93.3
6562,100,107,1,10,6,0,70,167.8,124.9
3000,100,42,1,18,280,272,NA,87,48.7
44791,100,23,2,37,982,973,28,160.6,87.6
15901,100,19,1,40,523,516,31,154.2,92.3
12157,100,67,1,33,277,274,66,114.4,51.1
12561,100,46,3,32,250,246,35,150.6,92.6
4600,100,95,1,11,5,0,NA,33.3,24.8
