"GFA","Occupancy","Age","NumBldgs","NumFloors","UnitsTotal","UnitsRes","ENERGYSTARScore","SourceEUI","SiteEUI"
80000,100,67,1,1,1,0,100,8,2.6
2e+05,100,67,1,2,1,0,43,90.2,39
131000,100,87,11,2,1,0,79,49,32.6
180000,100,37,2,2,13,0,65,85.3,43.3
120000,100,37,2,3,1,0,41,82.8,46.4
75000,100,37,1,3,1,0,83,73.8,33
66000,100,54,1,1,1,0,71,52,24.6
100010,100,72,1,2,1,0,15,135.1,89.5
75447,100,52,1,1,1,0,83,20,10.8
91000,100,50,1,2,1,0,50,76.6,24.4
82283,100,27,1,1,1,0,89,67,30.5
40358,100,53,3,1,1,0,4,379.7,123.9
180000,100,50,1,3,1,0,NA,26.5,8.4
53000,100,63,1,1,1,0,99,8.1,6.5
70000,100,90,1,3,2,0,70,53.4,30.7
51000,100,82,1,1,1,0,35,81.1,25.8
108000,100,88,3,2,1,0,NA,69.2,47.4
53660,100,97,1,2,2,0,7,151.9,52
425915,100,68,2,3,6,0,92,37,27.4
75654,100,89,1,2,1,0,18,102.4,32.6
753456,100,44,2,3,18,0,NA,150.9,66.5
89000,100,47,1,1,1,0,55,81.5,52.2
123000,100,47,1,2,1,0,88,42.3,27.3
87969,100,48,1,1,0,0,64,72.5,30.5
50990,100,87,1,4,2,0,NA,63.2,46.9
183535,100,95,17,1,1,0,NA,65.7,20.9
73000,100,57,1,1,1,0,20,106.2,87.9
71000,100,62,1,2,0,0,18,123.1,74.5
107000,100,76,4,3,1,0,9,126.8,59.5
156000,100,98,1,2,7,0,32,155.5,91.7
53427,100,27,1,6,25,0,24,239.5,95.1
74000,100,45,3,1,6,0,86,62.2,33.4
52897,100,57,1,1,2,0,85,41.1,37
170000,100,55,1,2,3,0,53,130.7,56
115600,100,10,2,4,4,0,NA,14.6,5.8
47072,100,89,1,2,3,0,NA,184.9,93.2
39409,100,92,1,2,4,0,90,57.3,23.2
147403,100,86,2,4,1,0,94,21.3,8.7
53666,100,41,1,1,1,0,57,35,11.1
