"","btype","exp","dependent","model","interaction","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape","data"
"103","Retail","C1","TotalEnergy","OLS",1,105,25,26,0.702,0.613,12097484786399.9,3478143.871,2788680.319,1.271,"Seattle"
"104","Retail","C2","TotalEnergy","OLSi2",2,105,81,259,0.926,0.678,3013645020708.8,1735985.317,876223.976,0.689,"Seattle"
"105","Retail","C2","TotalEnergy","OLSi3",3,105,88,1360,0.939,0.628,2466730791441.35,1570582.946,750208.341,0.446,"Seattle"
"106","Retail","C2","TotalEnergy","OLSi4",4,105,88,4295,0.939,0.628,2466730791441.35,1570582.946,750208.341,0.446,"Seattle"
"107","Retail","C3a","TotalEnergy","DT",1,105,6,6,0.522,0.498,19417217126948.6,4406497.149,3092989.559,1.163,"Seattle"
"108","Retail","E3b","TotalEnergy","GBT",1,105,21,21,0.8,0.752,5850145059175.74,2418707.312,1866350.363,0.967,"Seattle"
"109","Warehouse","C1","TotalEnergy","OLS",1,144,27,28,0.315,0.163,2184653560456.07,1478057.36,990694.064,1.106,"Seattle"
"110","Warehouse","C2","TotalEnergy","OLSi2",2,144,74,296,0.833,0.659,532603208303.305,729796.69,432992.746,0.578,"Seattle"
"111","Warehouse","C2","TotalEnergy","OLSi3",3,144,80,1614,0.847,0.657,489267530092.666,699476.612,401173.834,0.492,"Seattle"
"112","Warehouse","C2","TotalEnergy","OLSi4",4,144,80,5191,0.847,0.657,489267530092.666,699476.612,401173.834,0.492,"Seattle"
"113","Warehouse","C3a","TotalEnergy","DT",1,144,6,6,0.266,0.24,2339665028152.78,1529596.361,991623.831,1.057,"Seattle"
"114","Warehouse","E3b","TotalEnergy","GBT",1,144,20,20,0.375,0.279,1288178618322.94,1134979.567,733536.328,0.782,"Seattle"
"115","Multifamily","C1","TotalEnergy","OLS",1,1086,33,33,0.832,0.826,1545775754939.74,1243292.305,693440.411,0.521,"Seattle"
"116","Multifamily","C2","TotalEnergy","OLSi2",2,1086,232,400,0.917,0.894,764017883282.091,874081.165,490734.659,0.436,"Seattle"
"117","Multifamily","C2","TotalEnergy","OLSi3",3,1086,485,2450,0.972,0.949,258373059941.984,508304.102,284285.737,0.195,"Seattle"
"118","Multifamily","C2","TotalEnergy","OLSi4",4,1086,593,8665,0.981,0.958,176862507589.622,420550.244,205919.148,0.146,"Seattle"
"119","Multifamily","C3a","TotalEnergy","DT",1,1086,6,6,0.781,0.78,2013698970433.11,1419048.615,826474.344,0.534,"Seattle"
"120","Multifamily","E3b","TotalEnergy","GBT",1,1086,29,29,0.902,0.899,795366227157.707,891833.071,522888.346,0.379,"Seattle"
