"parcelId","BuildingType","PrimaryPropertyType","LargestPropertyUseType","YearBuilt","NumberofBuildings","NumberofFloors","SourceEUI","PropertyGFATotal","ENERGYSTARScore","SiteEnergyUse","Building Quality","Construction Class","Elevators","Heating System","Shape","Sprinklers"
"2437200015","NonResidential","Warehouse","Non-Refrigerated Warehouse",1980,1,2,64.19999695,33576,"64",1275231.75,"AVERAGE","MASONRY",NA,"FORCED AIR UNIT","Rect or Slight Irreg","No"
"2264501050","NonResidential","Warehouse","Non-Refrigerated Warehouse",1957,1,2,18.20000076,20140,"49",116486.6016,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","No"
"2738100500","NonResidential","Warehouse","Non-Refrigerated Warehouse",1961,1,1,78.69999695,41895,NA,1242311.5,"AVERAGE","MASONRY",NA,"WARMED AND COOLED AIR","Rect or Slight Irreg","No"
"2768301991","NonResidential","Warehouse","Non-Refrigerated Warehouse",1975,1,3,167.5,41478,"3",3035962.25,"AVERAGE","WOOD FRAME",NA,"HOT WATER","Rect or Slight Irreg","Yes"
"2768302361","NonResidential","Warehouse","Non-Refrigerated Warehouse",1980,1,1,59.29999924,39840,"2",752104,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","No"
"2771605265","NonResidential","Warehouse","Non-Refrigerated Warehouse",1974,1,1,173,25600,"1",1730600.625,"AVERAGE","MASONRY",NA,"NO HEAT","Rect or Slight Irreg","No"
"2771605365","NonResidential","Warehouse","Non-Refrigerated Warehouse",1960,1,1,54.5,56884,"71",1388345.125,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","No"
"2767702360","NonResidential","Warehouse","Non-Refrigerated Warehouse",1927,1,4,15.89999962,42500,"100",241478.5938,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","No"
"2771102515","NonResidential","Warehouse","Non-Refrigerated Warehouse",1955,1,2,116.3000031,39497,"9",1700057.375,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","No"
"8170100350","NonResidential","Warehouse","Non-Refrigerated Warehouse",1956,1,2,38.09999847,25840,"92",313528.0938,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","No"
"7666702210","NonResidential","Warehouse","Non-Refrigerated Warehouse",1900,1,1,41,20200,NA,269016.6875,"LOW/AVERAGE","STRUCTURAL STEEL",NA,"SPACE HEATERS","Rect or Slight Irreg","No"
"3834500415","NonResidential","Warehouse","Non-Refrigerated Warehouse",1977,1,1,12.30000019,21936,"100",113130,"AVERAGE","WOOD FRAME",NA,"SPACE HEATERS","Rect or Slight Irreg","No"
"7666200070","NonResidential","Warehouse","Non-Refrigerated Warehouse",1957,1,1,49,38255,"12",985401.8125,"LOW/AVERAGE","MASONRY",NA,"WARMED AND COOLED AIR","Rect or Slight Irreg","Yes"
"3467800005","NonResidential","Warehouse","Non-Refrigerated Warehouse",1963,1,1,192.8000031,31900,NA,1964681.25,"AVERAGE/GOOD","MASONRY",NA,"COMPLETE HVAC","Rect or Slight Irreg","Yes"
"7666200120","NonResidential","Warehouse","Non-Refrigerated Warehouse",1948,1,1,59,46970,NA,882896.5,"AVERAGE","WOOD FRAME",NA,"ELECTRIC WALL","Rect or Slight Irreg","No"
"7666201665","NonResidential","Warehouse","Non-Refrigerated Warehouse",1931,1,1,91.69999695,47554,NA,1035554.688,"AVERAGE","WOOD FRAME",NA,"SPACE HEATERS","Rect or Slight Irreg","No"
"7666206090","NonResidential","Warehouse","Non-Refrigerated Warehouse",1927,1,1,49.90000153,21600,"57",499828.5938,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"3573200250","NonResidential","Warehouse","Non-Refrigerated Warehouse",1953,1,1,85.40000153,26094,"19",709990.8125,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
