"SqFt","OpenHours","WorkersCnt","ComputersCnt","IsBank","CooledPercent","CDD65"
235000,45,100,203,"No",95,2077
4500,48,5,12,"Yes",100,1507
3200,168,5,1,"No",20,1502
37000,50,30,77,"No",100,1113
2000,60,5,7,"No",60,1265
6300,40,12,14,"No",90,1628
5300,45,12,9,"No",100,2065
20250,40,20,35,"No",100,112
37000,80,20,46,"No",100,1564
6900,50,17,46,"No",40,1805
5600,56,3,6,"No",100,3241
5000,80,12,22,"No",75,162
2000,40,8,6,"No",100,1554
114000,60,200,412,"No",100,289
2400,38,4,6,"No",100,1824
186000,45,200,207,"No",100,3349
26000,45,20,46,"No",100,824
205000,40,495,563,"No",75,180
230000,65,470,1509,"No",100,1498
75000,66,240,330,"No",100,1665
14750,168,13,19,"No",60,1973
9000,75,12,11,"No",90,1446
32500,168,17,10,"No",100,1533
11750,72,15,49,"Yes",100,801
220000,60,400,475,"No",100,781
3050,50,5,9,"No",100,2035
14000,70,25,47,"No",100,2236
44000,85,107,86,"No",100,1879
36500,50,118,195,"No",100,1908
4000,40,8,8,"No",100,1533
370000,66,727,1363,"No",100,3674
6700,40,12,26,"No",80,881
13500,168,50,90,"No",100,701
2700,53,2,11,"Yes",100,1484
325000,60,600,712,"No",80,897
1200,119,3,4,"No",100,4156
14000,45,15,14,"Yes",100,1746
3000,40,8,9,"Yes",66,2398
2700,50,13,16,"Yes",100,110
2500,40,2,7,"No",80,3398
32000,60,105,126,"No",100,1003
98000,50,150,200,"No",100,1486
68000,46,150,149,"No",100,890
45000,50,100,128,"No",80,708
8000,40,23,24,"Yes",70,942
1250,70,1,4,"No",35,1328
31000,84,65,84,"No",100,1422
25000,168,90,136,"No",100,2509
132000,50,350,331,"No",100,999
3100,40,3,5,"No",50,2347
8200,45,8,12,"No",100,3137
116000,40,300,231,"No",100,3327
58000,45,215,216,"No",100,634
6600,70,40,47,"No",100,2095
98000,75,323,393,"No",85,830
5100,48,4,5,"No",100,1189
5000,40,20,10,"Yes",100,2036
10500,168,10,30,"No",100,480
6300,40,1,3,"No",100,2174
16750,70,72,70,"No",100,955
2600,40,8,19,"No",75,525
2900,45,2,6,"No",100,854
4050,40,11,28,"Yes",100,467
4850,60,6,5,"Yes",100,950
53000,60,250,281,"No",100,1289
49000,45,84,99,"No",100,1487
2e+05,50,200,450,"No",85,1410
450000,75,1000,1820,"No",100,1908
56000,80,350,359,"No",60,932
75000,45,125,177,"No",100,1596
2000,35,1,3,"No",100,1291
20750,40,47,58,"No",100,1011
225000,50,1200,1405,"No",100,1028
44000,65,150,58,"No",70,4632
5400,40,5,6,"No",85,1083
4500,45,8,13,"No",100,3137
500001,45,652,957,"No",98,1075
3500,63,5,4,"No",100,4116
1900,56,2,5,"No",50,561
2850,40,4,10,"Yes",100,2236
52000,60,104,282,"No",98,1061
4e+05,66,999,185,"No",60,3339
32500,72,100,68,"No",50,950
65000,40,250,354,"No",100,1457
2600,35,3,5,"No",100,3790
3000,40,10,9,"No",75,853
11000,60,22,32,"No",100,1510
2200,40,5,6,"No",100,1544
20000,60,50,73,"No",100,2549
29000,37,36,131,"No",100,1447
16000,45,55,85,"No",100,529
28000,48,200,172,"No",100,1781
265000,40,450,781,"No",100,1597
4700,57,9,11,"No",100,3466
60000,40,246,390,"No",100,951
30000,60,60,79,"No",95,752
7e+05,60,1250,2450,"No",100,1756
3e+05,60,418,672,"No",100,1370
6e+05,65,925,1250,"No",100,4584
130000,55,400,530,"No",100,1264
66000,168,428,380,"No",100,165
2500,55,3,2,"No",100,2055
30000,168,100,120,"No",100,3219
126000,168,368,478,"No",100,1052
160000,50,244,376,"No",100,1835
156000,168,275,300,"No",75,1138
5000,40,3,3,"No",66,1741
15750,40,5,14,"No",75,934
4000,38,3,8,"Yes",100,1778
5900,60,5,9,"No",65,722
5300,54,21,29,"Yes",66,1026
200001,168,350,560,"No",100,1757
18250,40,28,30,"No",100,1595
310000,50,350,553,"No",75,1509
290000,50,400,450,"No",100,310
4550,60,3,6,"No",33,701
420000,45,1519,1277,"No",90,1156
11000,45,50,64,"No",80,1401
8e+05,168,2000,1603,"No",90,1146
132000,45,130,150,"No",44,4641
14000,50,20,21,"No",40,1656
6300,168,13,14,"No",100,2075
4600,45,12,13,"No",100,3793
220000,60,354,540,"No",95,984
3450,40,8,16,"No",100,1955
6700,60,27,36,"No",85,2046
1300,48,3,2,"Yes",100,5078
5200,40,17,20,"No",100,1326
95000,50,50,70,"No",100,1153
132000,55,600,592,"No",100,3194
184000,66,700,1000,"No",100,1426
5e+05,60,1000,1253,"No",100,1354
4200,40,3,11,"No",80,1824
3e+05,50,300,380,"No",90,500
24000,58,14,30,"Yes",100,3737
310000,40,425,587,"No",60,1437
1500,60,4,5,"No",50,1050
2750,41,10,17,"Yes",100,1432
3e+05,50,650,1000,"No",100,1255
2000,61,6,7,"No",100,2871
33500,80,200,175,"No",100,2161
44000,50,155,64,"No",75,1144
20000,60,65,67,"Yes",95,2622
1200,50,4,3,"No",100,588
4000,35,2,8,"No",100,2486
330000,70,304,302,"No",100,1031
132000,60,550,413,"No",100,2036
52000,50,215,260,"No",95,1087
3000,45,3,3,"No",80,1301
2000,70,4,10,"No",100,897
8900,44,31,43,"No",100,1648
10000,144,20,35,"No",100,2058
8e+05,68,2500,5070,"No",75,2108
2200,60,1,4,"No",100,797
3200,45,4,6,"Yes",50,474
265000,50,425,1370,"No",100,2052
2500,70,8,17,"No",100,1327
465000,59,371,415,"No",90,1229
1e+05,40,30,46,"No",50,1227
3800,45,8,12,"No",100,1181
17750,77,72,52,"No",100,1807
6e+05,60,2000,3424,"No",100,1203
285000,45,924,3540,"No",100,235
8e+05,55,450,459,"No",85,2105
275000,68,900,1100,"No",100,2628
96000,60,285,1120,"No",100,1154
85000,40,160,309,"No",100,2035
3200,45,4,6,"No",90,1725
370000,40,500,674,"No",80,1078
4e+05,70,1000,5625,"No",90,1256
3e+05,168,1500,2435,"No",75,1312
17500,38,70,77,"No",100,1338
41000,40,50,7,"No",80,1407
2700,35,3,7,"No",100,1369
15250,168,3,3,"No",10,1297
380000,97,1200,3010,"No",99,652
4150,45,7,9,"No",100,981
80000,50,6,20,"No",60,122
3300,48,4,8,"Yes",75,924
41500,72,40,74,"No",43,116
49500,73,200,655,"No",95,949
9000,168,10,7,"No",100,967
8e+05,55,260,258,"No",80,1040
355000,76,585,490,"No",100,2157
2200,84,5,7,"No",85,1629
190000,60,500,782,"No",100,302
10500,60,11,35,"No",50,771
5000,70,7,8,"No",100,1215
150000,56,300,566,"Yes",90,3482
4450,40,6,7,"No",31,944
4700,42,9,18,"No",100,2161
59000,50,75,100,"No",100,1229
144000,55,550,750,"No",100,2118
4150,40,7,9,"Yes",100,3843
18000,50,15,16,"No",100,2864
122000,60,320,359,"No",100,461
3200,45,7,15,"No",60,854
35500,168,52,66,"No",100,2984
2000,40,2,3,"No",100,1938
14000,40,40,75,"No",60,1539
62000,60,175,170,"No",95,612
174000,55,60,68,"No",100,864
7100,50,10,18,"No",80,690
78000,50,70,40,"No",60,780
3600,53,5,5,"No",100,4177
305000,40,1000,1214,"No",100,1735
4800,44,4,7,"Yes",46,385
98000,60,285,360,"No",100,2884
42000,50,150,162,"No",100,3221
4500,40,7,10,"No",100,2029
2500,40,3,5,"No",100,325
15000,40,5,9,"Yes",100,873
31500,168,70,110,"No",100,678
250000,45,400,700,"No",100,1083
8e+05,50,2200,4775,"No",80,64
36000,84,30,27,"No",100,1830
3900,72,12,6,"No",100,1107
5000,40,1,1,"No",100,1093
26000,50,60,66,"No",58,2118
9000,60,19,40,"No",100,1842
290000,60,875,628,"Yes",100,4636
39500,40,35,46,"No",100,504
2800,45,11,16,"Yes",65,585
7e+05,168,2400,3844,"No",80,1913
4000,50,22,31,"Yes",100,1034
5400,50,7,18,"No",100,1165
150000,50,80,122,"No",30,1479
90000,60,100,142,"No",100,744
62000,55,200,265,"No",100,814
1500,42,3,7,"Yes",100,2035
5400,50,6,10,"No",85,1769
7600,50,40,63,"No",100,1861
44000,45,109,116,"No",100,876
1200,50,3,12,"No",90,3382
7900,40,22,28,"No",100,3864
136000,45,200,300,"No",70,763
40000,48,45,76,"Yes",100,951
5500,50,19,25,"No",100,824
10001,53,35,41,"No",100,918
112000,60,160,161,"No",100,475
9900,50,5,10,"No",100,854
6700,50,12,36,"No",100,1741
5000,43,9,10,"No",100,666
6000,35,1,1,"No",20,1865
