"SqFt","OpenHours","WorkersCnt","ComputersCnt","IsBank","CooledPercent","CDD65","SOURCE_EUI","SourceEnergy","FINALWT","SourceEnergyLog"
3500,40,5,9,"No",25,839,142.41,498425.2,148.055,13.1192088069749
5200,70,5,11,"No",100,1623,118.97,618651.6,961.783,13.3352975499153
2600,40,1,7,"No",100,4554,73.11,190089.2,2140.906,12.1552487146585
59000,75,150,107,"No",50,1410,94.2,5557515.25,52.146,15.5306616688563
4250,45,2,6,"No",90,692,39.39,167398,1559.829,12.0281294895348
50000,50,120,121,"No",90,1879,128.31,6415466.75,48.841,15.6742223125433
5000,60,11,13,"No",100,1813,153.49,767440.8,1069.328,13.5508166219181
3950,40,10,8,"No",100,1755,69.42,274218,920.124,12.52167868947
3500,50,9,12,"No",100,2918,165.02,577581.2,1451.617,13.2666043175546
40000,45,200,145,"No",80,1313,232.9,9315819.1,1655.242,16.0472244915926
415000,50,220,200,"No",100,1208,196.14,81398139.86,25.323,18.2148629788689
88000,65,150,240,"No",100,2838,207.81,18287168.55,48.841,16.7217101997444
250000,62,500,738,"No",70,3755,210.89,52721742.56,48.841,17.7805385007231
445000,66,300,520,"No",60,4336,77.09,34304361.3,48.841,17.3507830556566
7500,40,19,17,"No",100,3003,153.6,1151984.4,1276.539,13.9569965784796
5000,40,2,4,"No",33,1488,56.17,280857.5,1807.463,12.5456027022506
205000,85,425,465,"No",100,706,137.32,28150522.4,52.146,17.1530764701042
4600,44,10,15,"No",61,735,66.13,304208.45,1851.67,12.6254684361993
52000,90,100,83,"No",100,1959,393.4,20456995.3,177.345,16.8338354504207
85000,168,150,375,"No",100,1411,24.9,2116873.85,365.059,14.5654509593004
25000,50,25,52,"No",60,563,148.43,3710789.25,48.841,15.1267551478076
500001,60,600,814,"No",90,4623,183.18,91590801.24,55.969,18.3328414014575
1500,45,4,9,"No",75,230,112.9,169349.95,1667.755,12.0397225629993
6e+05,168,1500,2180,"Yes",95,1252,400.63,240377126.51,62.141,19.2977196084696
5400,55,18,26,"Yes",100,1369,236.41,1276591.4,1274.256,14.0597041151372
16250,60,19,5,"No",100,1415,51.65,839291.6,1828.052,13.6403134816806
17000,45,70,84,"Yes",100,1218,159.59,2712976.35,918.03,14.8135568743159
500001,168,300,605,"No",100,1515,128.39,64195808.89,23.718,17.977448484442
1500,50,3,6,"No",100,769,99.34,149004.45,1484.515,11.9117314502534
500001,168,1200,1500,"Yes",90,1157,85.86,42928373.92,25.323,17.5750435620084
280000,50,520,310,"No",95,1034,358.4,100350756.48,177.345,18.4241821715938
5800,60,21,25,"No",100,645,153.69,891388.4,1667.755,13.7005355261723
3500,48,5,8,"Yes",80,1651,122.67,429339.05,918.03,12.9700022121071
32000,168,50,57,"No",75,764,124.45,3982258.7,308.206,15.1973597288491
5700,40,10,12,"No",100,701,43.92,250348.35,1484.515,12.4306086269635
60000,40,80,96,"No",100,4522,271.99,16319277.93,19.69,16.6078576620361
4100,40,5,7,"No",100,2453,66.35,272048,1484.515,12.5137338002973
2e+05,40,38,46,"No",90,613,249.79,49958723.24,64.601,17.7267076872506
4e+05,50,350,565,"No",100,792,103.9,41560807.46,9.093,17.5426681527842
210000,60,300,600,"No",95,1813,243.74,51185475.05,48.841,17.7509663593323
5000,40,2,4,"No",100,3376,291.94,1459676.4,23.718,14.1937253252823
1e+06,70,3750,5087,"No",65,3806,156.77,156771966.14,23.718,18.8703028625238
1800,45,12,22,"No",100,617,290.95,523717.6,1828.052,13.1687078867298
2400,45,8,11,"Yes",100,1913,357.32,857577,1522.982,13.6618662499092
210000,50,600,2250,"No",90,2043,184.6,38766709.62,3.31,17.4730724368167
2350,100,5,12,"No",100,2311,138.17,324688.7,3782.18,12.6906221561303
4000,47,6,9,"No",100,1507,75.33,301301,1807.463,12.6158650440641
5200,40,16,16,"No",50,2040,73.79,383712,1828.052,12.8576475501792
60000,168,150,555,"No",100,1278,426.05,25562987.1,249.445,17.0566560468425
14500,168,40,35,"No",100,928,122.73,1779558.55,1031.346,14.3918758858918
2500,48,3,4,"No",100,2996,405.05,1012625.6,48.841,13.8280571196521
2400,56,4,14,"No",100,1930,128.26,307826.4,2140.906,12.6372912666894
9900,50,12,14,"No",75,496,128.68,1273896.4,1451.617,14.0575907931264
4500,53,6,5,"No",100,3221,279.73,1258806.5,48.841,14.045674607807
45000,55,75,407,"No",100,1897,247.43,11134376.4,279.456,16.2255478535131
5200,45,16,20,"No",100,4196,144.65,752155.6,1007.009,13.5306984964217
285000,40,604,2764,"No",100,2681,211.29,60217739.33,48.841,17.9134775401272
5600,40,2,3,"No",100,1961,105.53,590976.4,48.841,13.2895313632728
26000,40,25,36,"No",80,716,98.49,2560756.8,308.206,14.7558133977673
91000,65,175,708,"No",100,1115,238.98,21747284.63,157.112,16.8949994631075
100001,100,75,72,"No",100,1586,187.13,18713086,1868.772,16.7447336231849
40000,50,65,110,"No",100,1424,206.56,8262422,226.828,15.9272283228555
104000,60,538,575,"No",100,653,327.99,34110786.15,53.724,17.3451242016226
7000,50,12,19,"No",66,1818,68.58,480043.55,499.12,13.0816321079351
1200,40,1,6,"No",100,2673,57.2,68642,1667.755,11.1366598712665
270000,168,400,1150,"No",100,1819,121.33,32760390.31,23.718,17.3047307311028
80000,66,170,200,"No",85,1278,148.07,11845358.35,19.69,16.2874466483888
176000,50,250,410,"No",100,978,131.13,23078640.55,53.724,16.954418096223
9000,40,8,14,"No",70,1042,163.88,1474914.7,308.206,14.2041107155753
3e+05,72,850,880,"No",100,4117,168.42,50525748.25,48.841,17.7379936306445
25500,50,20,66,"No",60,1749,53.35,1360520,1130.475,14.1233775375752
325000,60,700,1167,"No",100,1201,250.82,81517287.6,25.323,18.2163256735087
156000,65,450,650,"No",100,2219,167.95,26199900.27,64.869,17.0812661622355
16500,60,23,31,"Yes",100,923,148.05,2442904.1,1667.755,14.7086980944551
69000,45,65,80,"No",55,2254,102.29,7057968.05,48.841,15.769667756429
60000,50,280,303,"No",95,1808,141.69,8501660.5,222.038,15.9557720553228
1900,40,3,2,"No",100,2774,63.96,121522.8,1879.456,11.7078571784789
124000,65,350,376,"No",100,492,168.95,20950197.67,57.663,16.8576586396101
1350,60,4,4,"No",100,922,88.61,119621.6,1559.829,11.6920887061988
7900,60,9,18,"No",100,798,228.08,1801856,1849.185,14.4043278027476
500001,168,2500,2995,"No",98,1030,372.62,186310455.18,25.323,19.042924954126
3500,60,10,19,"Yes",100,3451,300.77,1052682.4,1451.617,13.8668521311864
22000,40,75,66,"No",90,909,136.7,3007389.35,1145.08,14.9165829347992
265000,65,450,715,"No",100,1075,124.67,33036874.33,25.323,17.313134899539
75000,46,150,185,"Yes",100,806,250.79,18809152.07,233.303,16.7498541215796
1600,40,3,5,"No",50,938,87.95,140721,1522.982,11.8545344856966
9900,54,12,17,"No",100,1585,69.7,690029.2,1117.742,13.4444891945186
3000,50,5,5,"No",95,3763,79.19,237568.8,976.417,12.378212544717
7800,50,14,18,"No",75,1759,138.63,1081276,1791.31,13.8936523831819
33000,70,71,85,"No",100,3029,133.93,4419601.2,1134.75,15.3015600237389
350000,65,500,415,"No",91,3854,123.43,43201074,48.841,17.5813759140164
5400,48,4,13,"No",100,1575,87.34,471616.25,1828.052,13.0639209042188
275000,60,550,485,"No",75,1283,203.75,56031192.48,19.69,17.8414191021992
340000,60,1190,1889,"No",100,1641,351.4,119476181.3,23.718,18.5986275898038
2700,56,4,6,"No",100,1702,165.61,447137.6,1729.173,13.0106216562034
5200,53,6,5,"No",100,3662,122.43,636652.8,74.845,13.3639797310128
2900,46,3,10,"No",60,1367,96.32,279328,2249.135,12.5401419975351
240000,40,900,1005,"No",90,2672,291.05,69851450.67,23.718,18.0618814118124
58000,40,80,24,"No",100,1458,131.01,7598432.45,265,15.8434525274038
215000,65,400,410,"No",86,918,139.8,30056491.64,52.146,17.2185892235682
355000,60,884,1463,"No",90,4791,166.49,59105266.37,23.718,17.8948305878818
33000,50,90,136,"No",95,1678,84.7,2795037.35,632.517,14.8433560276305
36000,168,50,37,"No",75,1193,241.1,8679434.4,653.843,15.9764669232231
13000,50,25,48,"No",95,1237,181.15,2354931.95,751.727,14.6720223890491
6e+05,60,1300,1079,"Yes",90,1219,285.73,171438839.3,25.323,18.959737138808
1900,40,2,3,"No",50,1905,138.83,263774,1729.173,12.4828479548933
5000,50,4,5,"No",100,3469,23.07,115368.4,23.718,11.6558857654018
3000,40,1,5,"No",100,925,227.67,683002.25,1831.778,13.4342534328374
2100,44,6,8,"No",66,2318,128.21,269234,1274.256,12.5033361689261
8200,55,9,14,"No",100,1110,137.78,1129788.8,1559.829,13.9375412705652
3800,55,3,7,"No",100,2534,239.25,909160,1461.857,13.7202763752721
2500,40,3,6,"No",100,1745,92.23,230566,1117.742,12.3482924344895
445000,65,500,800,"No",90,1820,187.76,83553851.07,23.718,18.2410019049416
1800,54,2,6,"No",100,1613,209.71,377477.8,1868.403,12.8412670379949
6800,62,10,9,"No",100,3325,148.65,1010836.4,23.718,13.8262886649281
3100,45,3,7,"No",100,902,222.47,689642.45,1145.08,13.4439285538616
310000,50,720,205,"No",100,1381,132.57,41096674.69,143.946,17.5314377684074
46000,60,86,152,"No",100,808,184.88,8504606.95,79.95,15.9561185687524
31000,40,130,156,"No",100,2701,280.46,8694287.35,657.711,15.9781767415145
142000,60,100,162,"No",100,997,233.99,33227149.09,64.983,17.3188778433912
6e+05,55,2000,3450,"No",90,1921,174.67,104803992.53,10.856,18.4676024257859
57000,40,104,122,"No",100,985,157.53,8979191.38,276.953,16.0104203894533
4400,90,7,8,"No",50,3591,77.08,339133.2,657.711,12.7341482295436
5500,40,10,13,"No",100,1818,193.56,1064585.2,1522.982,13.8780957976892
106000,55,271,286,"No",90,1685,134.48,14254592.16,233.692,16.4725896696075
6000,80,13,15,"No",100,790,141.09,846563.55,233.303,13.6489405515709
66000,60,255,406,"No",100,1067,172.28,11370657.2,365.059,16.2465466652876
71000,50,246,329,"No",100,3643,184.86,13125280,48.841,16.3900506995477
3600,45,4,12,"No",100,1361,52.23,188020.7,1779.412,12.1443073421338
1900,40,6,7,"No",33,634,81.07,154026.53,1851.67,11.9448801392858
37000,60,200,149,"No",100,1353,178.31,6597419.75,276.953,15.7021891835873
9900,114,9,9,"No",100,1454,167,1653268.4,23.718,14.3182647350682
51000,50,130,96,"No",100,282,62.23,3173976.3,532.964,14.9704957131219
52000,50,100,140,"No",100,1205,227.97,11854251.15,583.627,16.2881971080466
174000,60,600,1006,"No",100,2586,270.87,47131672,20.286,17.6684557746127
27000,40,40,56,"No",100,2467,208.04,5617206.46,1791.31,15.5413450271147
200001,60,850,165,"No",100,3377,278.82,55764481.4,48.841,17.8366476906276
28000,45,70,96,"No",25,1059,169.9,4757119.5,657.711,15.3751528959734
68000,54,160,186,"No",100,1591,215.71,14668537.01,175.756,16.5012154184931
3500,52,15,18,"Yes",100,1412,237.73,832062,1851.67,13.6316622362577
150000,168,450,756,"No",95,1318,762.93,114439581.84,53.724,18.5555575721724
1700,60,4,6,"No",100,1008,103.35,175703.15,1559.829,12.0765512023013
7000,40,10,15,"No",100,540,136.52,955645.25,1484.515,13.7701420457614
136000,40,150,306,"No",100,2994,236.13,32113069.1,50.319,17.2847736423141
6000,168,4,9,"No",100,1579,667.53,4005157.45,23.718,15.2030934510701
7e+05,65,1000,1512,"No",80,3413,139.12,97383801.17,23.718,18.3941704423583
3500,40,10,13,"No",100,1958,4.78,16746.8,920.124,9.72596247422572
6000,45,5,8,"No",75,1705,115.7,694220.8,1130.475,13.4505453445078
160000,40,200,205,"No",99,3945,189.17,30267650,64.983,17.2255900433624
18000,50,30,51,"No",100,1490,39.96,719320,1807.463,13.4860616002791
220000,60,500,350,"No",100,923,257.98,56754584.25,452.42,17.854246990799
3000,60,7,7,"No",100,3387,427.14,1281425.95,48.841,14.0634840392697
5000,40,5,8,"No",100,1826,77.07,385372.4,4637.851,12.8619654184904
235000,168,800,1215,"No",100,1637,278.7,65495211.6,62.963,17.9974875925896
12250,45,14,19,"No",70,424,38.73,474384.05,1381.421,13.0697725046839
10750,60,50,36,"No",100,2016,366.84,3943564.8,1023.608,15.1875956437886
11000,45,60,61,"No",100,2047,161.24,1773615.2,1849.185,14.3885305073873
198000,58,800,870,"No",100,861,144.21,28554117.2,50.319,17.1673116938266
3100,45,2,5,"No",100,1387,119.74,371184.8,1667.755,12.8244553307799
10000,50,40,75,"No",100,967,279.72,2797216.45,1868.403,14.8441353556754
4000,60,20,9,"No",100,686,331.33,1325334.85,1522.982,14.097175702456
88000,60,457,301,"No",100,191,261.09,22976080.75,158.3,16.9499642653608
170000,65,400,469,"No",100,842,189.73,32253598.31,53.724,17.2891401704858
1500,40,3,4,"No",80,1877,66.28,99417.15,1807.463,11.5070799129734
144000,168,420,415,"No",62,1019,208.67,30048347.6,26.089,17.2183182290808
10250,80,15,34,"No",100,4449,144.9,1485260,1197.386,14.2111003990686
2500,50,4,6,"No",100,1619,224.94,562352.35,316.263,13.2398838897156
