Building ID,Address,Zip,Cohort - Sector,Cohort - Size,Verification Year,Community Area Name,Community Area Number,Ward,Latitude,Longitude,Location
175508,5353 N Elston Ave,60630,Commercial,"50,000 - 250,000 Sq Ft",2018,JEFFERSON PARK,11,39,41.97887489,-87.75758499,"(41.97887489, -87.75758499)"
124308,10900 S Doty Ave,60628,Commercial,"50,000 - 250,000 Sq Ft",2018,PULLMAN,50,9,41.693399,-87.598728,"(41.693399, -87.598728)"
120965,1615 S Clark St,60616,Commercial,"50,000 - 250,000 Sq Ft",2018,NEAR SOUTH SIDE,33,3,41.859892,-87.630216,"(41.859892, -87.630216)"
120614,16 - 40 S Halsted St,60661,Commercial,"50,000 - 250,000 Sq Ft",2018,NEAR WEST SIDE,28,27,41.88105,-87.647382,"(41.88105, -87.647382)"
120980,3400 W DIVISION,60651,Commercial,"50,000 - 250,000 Sq Ft",2018,HUMBOLDT PARK,23,26,41.90280838,-87.71178755,"(41.90280838, -87.71178755)"
134126,1111 N Clark St,60610,Commercial,"50,000 - 250,000 Sq Ft",2018,NEAR NORTH SIDE,8,2,41.90248079,-87.63099565,"(41.90248079, -87.63099565)"
163996,2145 N Halsted St,60614,Commercial,"50,000 - 250,000 Sq Ft",2018,LINCOLN PARK,7,43,41.92139853,-87.64783489,"(41.92139853, -87.64783489)"
120267,2333 W Madison,60612,Commercial,"50,000 - 250,000 Sq Ft",2018,NEAR WEST SIDE,28,27,41.881165,-87.684802,"(41.881165, -87.684802)"
129459,2430 N Halsted St,60614,Commercial,"50,000 - 250,000 Sq Ft",2018,LINCOLN PARK,7,43,41.92651485,-87.64916423,"(41.92651485, -87.64916423)"
119323,2647 2679 N Halsted St,60614,Commercial,"50,000 - 250,000 Sq Ft",2018,LINCOLN PARK,7,43,41.93099766,-87.64894109,"(41.93099766, -87.64894109)"
119223,3500 N Kimball Ave,60618,Commercial,"50,000 - 250,000 Sq Ft",2018,AVONDALE,21,35,41.944722,-87.712672,"(41.944722, -87.712672)"
163266,4611 S ELLIS AVE,60653,Commercial,"50,000 - 250,000 Sq Ft",2018,KENWOOD,39,4,41.8111769,-87.60081989,"(41.8111769, -87.60081989)"
120218,4650 W North Ave,60639,Commercial,"50,000 - 250,000 Sq Ft",2018,AUSTIN,25,37,41.909706,-87.742663,"(41.909706, -87.742663)"
162224,5416 S Cornell Ave,60615,Commercial,"50,000 - 250,000 Sq Ft",2018,HYDE PARK,41,5,41.79776237,-87.5860215,"(41.79776237, -87.5860215)"
134735,5735 S Ellis Ave,60637,Commercial,"50,000 - 250,000 Sq Ft",2018,HYDE PARK,41,5,41.79059152,-87.60101889,"(41.79059152, -87.60101889)"
165439,610 S Michigan Ave,60605,Commercial,"50,000 - 250,000 Sq Ft",2018,LOOP,32,42,41.87405317,-87.62482805,"(41.87405317, -87.62482805)"
162209,6105 S Michigan Ave,60637,Commercial,"50,000 - 250,000 Sq Ft",2018,WASHINGTON PARK,40,20,41.78350218,-87.62163947,"(41.78350218, -87.62163947)"
130882,832 854 W FULTON MARKET,60607,Commercial,"50,000 - 250,000 Sq Ft",2018,NEAR WEST SIDE,28,27,41.8870513,-87.64927047,"(41.8870513, -87.64927047)"
119914,8411 S HOLLAND RD,60620,Commercial,"50,000 - 250,000 Sq Ft",2018,CHATHAM,44,21,41.74032788,-87.63113941,"(41.74032788, -87.63113941)"
164922,850 W Irving Park Rd,60613,Commercial,"50,000 - 250,000 Sq Ft",2018,UPTOWN,3,46,41.954528,-87.653102,"(41.954528, -87.653102)"
135620,8704 S CONSTANCE AVE,60617,Commercial,"50,000 - 250,000 Sq Ft",2018,CALUMET HEIGHTS,48,8,41.73672851,-87.57979181,"(41.73672851, -87.57979181)"
251941,5450 N Cumberland Ave,60656,Commercial,"50,000 - 250,000 Sq Ft",2018,OHARE,76,41,41.9787887,-87.83785106,"(41.9787887, -87.83785106)"
251942,4900 S Lake Shore Dr,60615,Residential,"50,000 - 250,000 Sq Ft",2018,KENWOOD,39,5,41.80590747,-87.58592666,"(41.80590747, -87.58592666)"
251964,114 S Racine Ave,60607,Commercial,"50,000 - 250,000 Sq Ft",2018,NEAR WEST SIDE,28,27,41.8796246,-87.65748447,"(41.8796246, -87.65748447)"
251965,3445 3481 S King Dr,60616,Commercial,"50,000 - 250,000 Sq Ft",2018,DOUGLAS,35,4,41.83150912,-87.61643436,"(41.83150912, -87.61643436)"
104285,528 534 W ALDINE AVE,60657,Residential,"50,000 - 250,000 Sq Ft",2018,LAKE VIEW,6,44,41.9398511,-87.65844752,"(41.9398511, -87.65844752)"
124961,2769 2789 N MILWAUKEE AVE,60647,Residential,"50,000 - 250,000 Sq Ft",2018,LOGAN SQUARE,22,35,41.92075046,-87.70152825,"(41.92075046, -87.70152825)"
104384,6011 6015 N KENMORE AVE,60660,Residential,"50,000 - 250,000 Sq Ft",2018,EDGEWATER,77,48,41.99090057,-87.66660744,"(41.99090057, -87.66660744)"
173731,2129 2135 N KENMORE AVE,60614,Residential,"50,000 - 250,000 Sq Ft",2018,LINCOLN PARK,7,43,41.92201051,-87.65461957,"(41.92201051, -87.65461957)"
116697,1322 1328 S WABASH AVE,60605,Residential,"50,000 - 250,000 Sq Ft",2018,NEAR SOUTH SIDE,33,3,41.86863212,-87.62730687,"(41.86863212, -87.62730687)"
