"SQFT","NFLOOR","NELVTR","NESLTR","COURT","MONUSE","WKHRS","NWKER","COOK","HEATP","COOLP","SNACK","FASTFD","CAF","FDPREP","KITCHN","BREAKRM","OTFDRM","RFGSTO","RFGWIN","RFGOPN","RFGCLN","RFGVNN","RFGICN","RFGSTP","PCTERMN","LAPTPN","PRNTRN","SERVERN","TVVIDEON","RGSTRN","COPIERN","HDD65","CDD65","RFGRES","PBAPLUS","PBA","FINALWT","MFBTU","ELBTU","NGBTU","FKBTU","DHBTU","ONEACT","ACT1","ACT2","ACT3","ACT1PCT","ACT2PCT","ACT3PCT","PRAMTC","PRUNIT","CWUSED","WOUSED","COUSED","SOUSED","RFGRSN","RFGCOMPN","RFGWIN.1","RFGOPN.1","RFGCLN.1","RFGVNN.1","ZWKHRS","ZNWKER","ZRFGWIN","ZCOOLP","ZHEATP","HEATP.1","FURNP","PKGHP","BOILP","STHWP","HTPHP","SLFCNP","OTHTP","ELBTU0","NGBTU0","FKBTU0","DHBTU0","SOURCE_ENERGY","SOURCE_EUI","SITE_EUI"
140000,1,NA,NA,NA,12,119,100,1,100,100,2,1,2,2,2,2,2,2,4,14,9,8,1,NA,200,0,8,1,9,24,3,5293,1011,1,42,25,158.29956057,15723982,11656064,4067918,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,4,14,9,8,0,0,0,0,0,100,NA,100,NA,NA,NA,NA,NA,32636979.2,4271313.9,NA,NA,36908293.1,263.63,112.31
7200,1,NA,NA,NA,12,85,3,1,NA,100,2,1,2,2,2,2,2,2,1,NA,5,NA,1,NA,0,0,NA,0,1,1,NA,1261,3160,2,14,6,1879.4560061,745650,557562,188088,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,NA,1,NA,5,NA,0,0,0,0,9,NA,NA,NA,NA,NA,NA,NA,NA,1561173.6,197492.4,NA,NA,1758666,244.26,103.56
16000,1,NA,NA,NA,12,53,2,2,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,1,2,2,115,4513,NA,42,25,1170.3023772,345547,345547,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,NA,NA,NA,NA,NA,0,0,9,0,9,NA,NA,NA,NA,NA,NA,NA,NA,967531.6,NA,NA,NA,967531.6,60.47,21.6
5800,1,NA,NA,NA,12,48,6,2,85,85,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,6,0,3,0,1,1,2,5314,1332,2,42,25,1484.5150471,406201,217498,188703,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,1,NA,NA,NA,1,0,0,9,0,0,85,100,NA,NA,NA,NA,NA,NA,608994.4,198138.15,NA,NA,807132.55,139.16,70.03
16500,1,NA,NA,NA,12,44,4,2,NA,10,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,5,1,2,1,1,NA,1,1001,1601,1,42,25,1828.0523467,139343,139343,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,NA,NA,NA,NA,2,0,0,9,0,9,NA,NA,NA,NA,NA,NA,NA,NA,390160.4,NA,NA,NA,390160.4,23.65,8.45
5000,1,NA,NA,NA,12,83,9,2,100,100,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,12,0,4,1,NA,10,1,3161,2118,1,42,25,1155.42801,245839,227901,17938,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,NA,NA,NA,NA,1,0,0,9,0,0,100,NA,100,NA,NA,NA,NA,NA,638122.8,18834.9,NA,NA,656957.7,131.39,49.17
31000,1,NA,NA,NA,12,60,14,2,100,50,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,14,2,3,0,NA,2,1,3833,1885,1,42,25,1867.0570666,552539,552539,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,NA,NA,NA,NA,2,0,0,9,0,0,100,NA,100,NA,NA,NA,NA,NA,1547109.2,NA,NA,NA,1547109.2,49.91,17.82
220000,1,NA,NA,NA,12,168,125,1,95,95,2,1,2,2,2,2,2,1,7,36,2,4,1,15,50,0,13,11,3,61,3,2270,2155,2,42,25,297.83933403,21329536,20551663,777873,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,NA,7,36,2,4,0,0,1,0,0,95,NA,100,NA,NA,NA,NA,NA,57544656.4,816766.65,NA,NA,58361423.05,265.28,96.95
50000,1,NA,NA,NA,12,45,6,2,100,100,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,0,1,0,NA,4,NA,2955,2020,1,42,25,519.50232556,1533377,1533377,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,4,NA,NA,NA,NA,NA,0,0,9,0,0,100,NA,100,80,NA,NA,NA,NA,4293455.6,NA,NA,NA,4293455.6,85.87,30.67
37000,1,NA,NA,NA,12,74,12,2,80,80,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,1,NA,NA,3,2,6,2,5,6,1,3935,939,1,42,25,639.7223438,1964495,1668065,296430,NA,NA,1,NA,NA,NA,NA,NA,NA,3,2,2,2,2,2,1,NA,NA,NA,2,1,0,0,9,0,0,80,NA,90,NA,NA,NA,10,NA,4670582,311251.5,NA,NA,4981833.5,134.64,53.09
12000,3,NA,NA,NA,12,40,1,1,100,66,2,2,2,2,1,2,2,2,NA,NA,NA,NA,NA,NA,2,0,2,0,7,1,NA,7370,546,1,42,25,1145.0798138,227260,150411,NA,76849,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,3,NA,NA,NA,NA,NA,0,0,9,0,0,100,NA,66,NA,NA,NA,33,NA,421150.8,NA,77617.49,NA,498768.29,41.56,18.94
34000,1,NA,NA,NA,12,80,18,2,100,95,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,14,0,4,2,2,10,1,1862,1622,1,42,25,583.6267448,1651662,1386343,181733,83586,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,NA,NA,NA,NA,1,0,0,9,0,0,100,NA,95,NA,NA,NA,5,NA,3881760.4,190819.65,84421.86,NA,4157001.91,122.26,48.58
63000,1,NA,NA,NA,12,98,40,2,100,100,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,4,1,NA,NA,4,0,3,1,1,9,1,2778,2333,1,42,25,143.94634909,4006541,3751931,254610,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,1,NA,NA,4,1,0,0,9,0,0,100,NA,5,100,NA,NA,NA,NA,10505406.8,267340.5,NA,NA,10772747.3,171,63.6
28000,2,NA,NA,NA,12,90,35,1,100,80,2,2,2,1,2,2,2,2,2,10,3,5,2,NA,4,1,2,1,8,5,1,787,1782,2,14,6,583.6267448,5867715,4624082,1243633,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,2,2,10,3,5,0,0,0,0,0,100,99,NA,NA,NA,NA,1,NA,12947429.6,1305814.65,NA,NA,14253244.25,509.04,209.56
37000,1,NA,NA,NA,12,85,15,1,NA,100,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,9,0,2,0,30,1,NA,1589,1433,1,42,25,798.4199208,2252469,2252469,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,NA,NA,NA,NA,NA,0,0,9,0,9,NA,NA,NA,NA,NA,NA,NA,NA,6306913.2,NA,NA,NA,6306913.2,170.46,60.88
5000,1,NA,NA,NA,12,50,4,2,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,3,0,NA,NA,2,6879,164,NA,42,25,1655.242098,267430,157447,109983,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,NA,NA,NA,NA,NA,1,0,9,0,0,100,100,NA,NA,NA,NA,NA,NA,440851.6,115482.15,NA,NA,556333.75,111.27,53.49
12000,3,NA,NA,NA,12,84,10,2,90,90,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,3,2,2,1,2,7,NA,3503,1424,2,42,25,1851.6697201,1446698,1446698,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,2,NA,NA,NA,1,0,0,9,0,0,90,NA,100,NA,NA,NA,NA,NA,4050754.4,NA,NA,NA,4050754.4,337.56,120.56
39500,1,NA,NA,NA,12,105,80,1,100,80,2,2,2,1,2,1,2,2,7,50,30,2,NA,NA,20,0,15,1,2,7,NA,5679,756,2,14,6,279.45612766,10968693,6817463,4050185,101045,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,NA,7,50,30,2,0,1,0,0,0,100,NA,80,NA,NA,NA,20,NA,19088896.4,4252694.25,102055.45,NA,23443646.1,593.51,277.69
94000,1,NA,NA,NA,12,96,60,2,100,100,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,4,NA,NA,43,0,10,1,1,16,6,2302,2371,1,42,25,485.40398032,5550662,5550662,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,NA,NA,NA,4,0,0,9,0,0,100,NA,100,NA,NA,NA,NA,NA,15541853.6,NA,NA,NA,15541853.6,165.34,59.05
16000,2,NA,NA,NA,12,76,5,2,100,90,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,8,0,8,1,3,4,1,8341,981,2,42,25,1559.8286174,627245,485180,142065,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,1,NA,NA,1,NA,0,0,9,0,0,100,NA,100,NA,NA,NA,NA,NA,1358504,149168.25,NA,NA,1507672.25,94.23,39.2
61000,1,NA,NA,NA,12,133,51,1,100,98,2,2,1,2,2,2,2,2,13,86,56,2,1,NA,28,0,16,0,1,14,2,5381,792,2,14,6,647.9871845,16399873,10820452,5422148,157273,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,8,13,86,56,2,0,0,0,0,0,100,NA,100,NA,NA,NA,NA,NA,30297265.6,5693255.4,158845.73,NA,36149366.73,592.61,268.85
138000,1,NA,NA,NA,12,112,100,1,100,80,2,2,2,1,2,1,2,2,9,20,90,3,4,NA,15,0,4,1,10,25,2,6246,464,1,14,6,158.29956057,16189001,10962852,4875310,350839,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,9,20,90,3,0,1,0,0,0,100,NA,90,NA,NA,NA,NA,10,30695985.6,5119075.5,354347.39,NA,36169408.49,262.1,117.31
15000,4,NA,NA,NA,12,70,8,1,70,20,2,2,2,2,1,2,2,2,2,NA,2,NA,NA,NA,10,1,2,0,NA,2,1,5421,914,1,42,25,1851.6697201,326507,167939,158568,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,NA,2,NA,2,NA,0,0,0,0,0,70,NA,100,NA,NA,NA,5,NA,470229.2,166496.4,NA,NA,636725.6,42.45,21.77
