"Unit.Density","Bedrooms.Unit","CDD","HDD","Building.Type..Property.Level.","Source.EUI...using.Total.gross.floor.area.","Total.gross.floor.area","Total.number.of.units","Total.SITE.kBtu","Total.SOURCE.kBtu","Site.EUI..using.Total.gross.floor.area.","Source.EUI...using.Total.gross.floor.area.","Survey.Weights.for.ENERGY.STAR.score.analysis"
1.07,1.1,1093,4856,"Low-rise",141.6,79805,85,4168394,11296523,52.2,141.6,433
0.84,2.4,1749,4585,"Low-rise",181.3,102454,86,8632120,18579684,84.3,181.3,925.04
2.09,1,34,3345,"Mid-rise",117.9,42180,88,2849906,4971138,67.6,117.9,925.04
0.87,1.6,1272,4423,"Mid-rise",94.6,101200,88,5441935,9571408,53.8,94.6,433
1.4,1,1272,4423,"High-rise",149.7,62920,88,6873546,9417295,109.2,149.7,433
0.6,1.2,1165,4570,"Mid-rise",74.9,146706,88,8269823,10991612,56.4,74.9,433
0.91,2.2,689,5171,"Low-rise",158.5,96845,88,9928079,15351724,102.5,158.5,433
1.77,1,924,5221,"Mid-rise",154,49749,88,4762132,7660819,95.7,154,433
1.17,1.4,979,5346,"Low-rise",139.1,76381,89,7273956,10620829,95.2,139.1,433
1.19,1.2,1272,4423,"High-rise",61,76508,91,1529329,4666605,20,61,433
1.25,1,967,4619,"Mid-rise",132.4,72548,91,3059252,9606051,42.2,132.4,925.04
1.65,1,327,6728,"Low-rise",96,55250,91,1690877,5301986,30.6,96,925.04
1.35,1.3,1536,4312,"High-rise",199.8,68887,93,7862867,13763539,114.1,199.8,433
0.32,2.1,1272,4423,"High-rise",152.8,286159,93,19268820,43722405,67.3,152.8,433
1.52,1,2110,3523,"Low-rise",156.9,61991,94,4923264,9724803,79.4,156.9,925.04
1.06,2.2,1322,3950,"Low-rise",166.7,88949,94,8094143,14828692,91,166.7,925.04
0.99,1.6,1272,4423,"High-rise",156,96420,95,7085697,15044544,73.5,156,433
1.2,1,825,5597,"Low-rise",124.8,79698,96,3167274,9945241,39.7,124.8,433
1.52,1,4114,429,"High-rise",108.1,65951,100,2271440,7132322,34.4,108.1,469.3
1.27,2.1,926,2835,"Low-rise",83.9,78774,100,4573619,6610915,58.1,83.9,469.3
1.54,1,2416,2838,"Low-rise",164.4,64758,100,5766991,10648539,89.1,164.4,469.3
0.91,1,136,3150,"High-rise",93.5,109966,100,6079493,10281191,55.3,93.5,469.3
1.44,1.1,2055,3246,"Mid-rise",230.5,69360,100,6627094,15988087,95.5,230.5,469.3
0.55,3,1272,4423,"High-rise",165.3,182116,100,16183555,30101157,88.9,165.3,79.26
1.12,1.2,1272,4423,"High-rise",223.5,89455,100,10262835,19993603,114.7,223.5,79.26
1.25,1.1,1820,4889,"Low-rise",197.7,80096,100,5839539,15837144,72.9,197.7,469.3
1.34,1,834,5180,"Mid-rise",107.7,74799,100,4191180,8056356,56,107.7,79.26
1.25,1,881,5332,"Mid-rise",135.3,79946,100,3952525,10815649,49.4,135.3,469.3
0.58,2.1,769,5546,"Low-rise",54.6,173700,100,3020659,9484869,17.4,54.6,469.3
1.4,1,924,5179,"Mid-rise",129.5,72338,101,5499400,9369146,76,129.5,79.26
1.09,1,877,5237,"Mid-rise",84.3,92575,101,4007538,7799484,43.3,84.3,79.26
1.11,1,508,5354,"Mid-rise",93.9,90700,101,5068454,8515875,55.9,93.9,79.26
1.16,1,387,6260,"Mid-rise",107.2,86850,101,2963725,9306095,34.1,107.2,79.26
1.29,1,3906,1328,"High-rise",152.8,80020,103,4759495,12228944,59.5,152.8,469.3
1.29,1,998,5400,"High-rise",141.2,80000,103,4096461,11295861,51.2,141.2,79.26
0.68,2,1155,5770,"Low-rise",123.4,150621,103,13474528,18590748,89.5,123.4,469.3
1.18,1,900,6310,"Low-rise",117.2,87500,103,5751481,10252135,65.7,117.2,469.3
1.28,1,3283,1001,"Mid-rise",111.9,81157,104,2891936,9080678,35.6,111.9,469.3
0.99,1.5,1165,4570,"Mid-rise",111.1,105000,104,8262933,11670484,78.7,111.1,79.26
1.67,1.2,475,6315,"Low-rise",219.8,62103,104,4347666,13651673,70,219.8,469.3
0.8,1.2,1272,4423,"Mid-rise",92.1,132000,106,8640938,12157847,65.5,92.1,79.26
1.2,1,1219,5764,"Low-rise",157.5,88407,106,4433125,13920013,50.1,157.5,469.3
1.52,1.4,1536,4312,"Mid-rise",107.3,70458,107,5322243,7562659,75.5,107.3,79.26
1.86,1.4,1536,4312,"Mid-rise",106.4,57600,107,4050697,6128164,70.3,106.4,79.26
1.04,1,713,5856,"Mid-rise",104.2,102824,107,6096466,10717434,59.3,104.2,79.26
1.26,1,585,6702,"Mid-rise",168.6,85960,108,8952303,14491603,104.1,168.6,79.26
0.39,1,1272,4423,"High-rise",146.8,279463,109,20304191,41030645,72.7,146.8,79.26
1.65,1.1,1283,5385,"Mid-rise",150.4,66235,109,3616044,9960291,54.6,150.4,469.3
1.2,1,4125,429,"High-rise",127.2,91508,110,4331004,11641677,47.3,127.2,469.3
1.47,1,1903,4767,"High-rise",123,75350,111,4628138,9269309,61.4,123,469.3
1.39,1,1724,5121,"High-rise",145,80000,111,5310810,11602088,66.4,145,469.3
1.02,1,3222,1001,"High-rise",149.9,110075,112,5954613,16500685,54.1,149.9,469.3
1.55,1,3209,2241,"High-rise",186.9,74413,115,5902168,13906802,79.3,186.9,469.3
2,1.1,1272,4423,"Mid-rise",104.8,57606,115,4362822,6035295,75.7,104.8,79.26
1.22,1,4586,999,"Mid-rise",117.9,95381,116,3580143,11241650,37.5,117.9,469.3
1.39,1.1,1503,3438,"Low-rise",113.6,85503,119,3092402,9710143,36.2,113.6,469.3
0.63,2.1,1272,4423,"High-rise",194.6,188598,119,17510092,36692127,92.8,194.6,79.26
1.42,1,4602,1061,"Low-rise",185.9,84712,120,5916375,15745469,69.8,185.9,469.3
0.89,1,1535,4200,"Low-rise",78.2,134640,120,4948364,10533823,36.8,78.2,469.3
1.33,1.2,1034,6165,"High-rise",251.6,90000,120,11804070,22640031,131.2,251.6,469.3
1.05,1.525,1272,4423,"Mid-rise",114.3,115861,122,9536855,13244569,82.3,114.3,79.26
0.84,1.8,1272,4423,"High-rise",85.3,146638,123,3984834,12512380,27.2,85.3,79.26
0.85,1.5,1272,4423,"Mid-rise",109.2,145359,123,10221307,15874278,70.3,109.2,79.26
0.88,1.9,1272,4423,"High-rise",120,141266,125,11190323,16956615,79.2,120,79.26
0.73,1,1535,4200,"Mid-rise",63.3,172760,126,5728061,10929225,33.2,63.3,79.26
1.13,1.5,1272,4423,"Mid-rise",156.1,111290,126,11092862,17368173,99.7,156.1,79.26
0.95,1.5,1272,4423,"Mid-rise",134.8,132250,126,11753985,17822391,88.9,134.8,79.26
0.82,1.3,1272,4423,"High-rise",62,155646,128,7599704,9643392,48.8,62,79.26
1.01,1.3,1272,4423,"High-rise",118.3,133749,135,7819519,15819595,58.5,118.3,79.26
0.87,1.2,1272,4423,"High-rise",141.5,154506,135,13499834,21857188,87.4,141.5,79.26
0.48,1.9,1272,4423,"High-rise",123.5,283235,136,14525251,34981016,51.3,123.5,79.26
1.54,1.1,1272,4423,"High-rise",133.2,88198,136,7631385,11752350,86.5,133.2,79.26
0.96,1.6,1536,4312,"Mid-rise",93,145446,140,9173304,13528391,63.1,93,79.26
0.91,1.1,1272,4423,"High-rise",91.6,155685,142,9595962,14261591,61.6,91.6,79.26
1.26,1.4,1272,4423,"High-rise",133.2,113128,143,9747433,15072408,86.2,133.2,79.26
1.5,1,2609,1984,"High-rise",180.3,95720,144,6737499,17261505,70.4,180.3,469.3
1.09,1,431,3141,"Low-rise",97.4,133000,145,6556908,12958732,49.3,97.4,469.3
1.13,1.2,1536,4312,"High-rise",196.5,127800,145,17414414,25115283,136.3,196.5,79.26
1.31,1,529,5741,"High-rise",153.1,110566,145,8805153,16922258,79.6,153.1,79.26
1,1.2,1272,4423,"High-rise",94.6,146600,146,9231662,13874253,63,94.6,79.26
0.87,1.1,847,4954,"High-rise",100.4,167734,146,9916409,16848433,59.1,100.4,79.26
1.61,1,1027,5765,"Low-rise",163.5,92345,149,7129572,15093863,77.2,163.5,469.3
1.02,1.9,2979,1650,"Low-rise",141.5,146725,150,6695055,20763476,45.6,141.5,469.3
1.29,1,1061,5751,"High-rise",120.7,116400,150,7940206,14048298,68.2,120.7,469.3
1.31,1,796,5332,"High-rise",129.3,115240,151,5593347,14901495,48.5,129.3,469.3
1.58,1,100,5094,"High-rise",99.4,96500,152,5848950,9593020,60.6,99.4,469.3
1.16,1.1,822,5437,"High-rise",154.9,131417,152,12322440,20360661,93.8,154.9,469.3
0.82,1.4,1165,4570,"Mid-rise",85.4,190159,156,14065696,16246812,74,85.4,79.26
1.2,1.8,1536,4312,"Low-rise",123.8,134673,161,10871464,16668588,80.7,123.8,79.26
1.08,1.2,100,5094,"Mid-rise",103.7,149697,161,6553747,15529183,43.8,103.7,469.3
0.7,1,690,6350,"High-rise",50.4,232767,162,7264553,11723873,31.2,50.4,79.26
1.19,1.1,1272,4423,"Mid-rise",141.4,136944,163,13167239,19367874,96.2,141.4,79.26
0.62,1.9,1535,4200,"Low-rise",31.6,268146,165,7018047,8462247,26.2,31.6,469.3
1.29,1.1,1536,4312,"High-rise",175.5,127800,165,15477774,22428605,121.1,175.5,79.26
1.32,1.4,3036,1849,"Low-rise",159.6,127470,168,8865479,20345859,69.5,159.6,469.3
0.8,1.7,737,6292,"Mid-rise",132.8,210105,168,15428712,27904366,73.4,132.8,79.26
1.13,1,1061,5751,"High-rise",168.2,150000,169,11856572,25229044,79,168.2,469.3
0.73,1,1633,5085,"Low-rise",154.1,234901,172,11525995,36191623,49.1,154.1,469.3
1.09,1.2,100,5094,"Mid-rise",116.7,157827,172,8013923,18411013,50.8,116.7,469.3
1.02,1,1272,4423,"Mid-rise",84.9,169865,174,8332253,14424449,49.1,84.9,79.26
0.56,1.8,1272,4423,"High-rise",95.7,315078,175,19789914,30144870,62.8,95.7,79.26
0.87,1.4,1272,4423,"High-rise",136.9,200675,175,20273750,27474207,101,136.9,79.26
0.52,1.9,1272,4423,"High-rise",226.1,348282,180,56179445,78745906,161.3,226.1,79.26
0.51,1,877,5237,"Low-rise",35.7,356262,180,7596141,12729187,21.3,35.7,79.26
1.03,1.3,1322,3950,"Mid-rise",151.3,179380,185,16804768,27145030,93.7,151.3,469.3
1.15,1,100,3289,"High-rise",96.2,169183,195,7286838,16269471,43.1,96.2,469.3
0.9,1.5,737,6292,"High-rise",116.9,216292,195,13513219,25276996,62.5,116.9,79.26
1.27,1.9,930,4646,"Mid-rise",197.1,156430,198,22360187,30831522,142.9,197.1,79.26
1.33,1.7,2957,1879,"Low-rise",160.1,150232,200,12635084,24046953,84.1,160.1,469.3
1.18,1,511,5299,"Mid-rise",145.6,170124,200,14463718,24777837,85,145.6,79.26
0.97,1.2,136,3150,"Low-rise",67.3,207304,201,7549279,13956840,36.4,67.3,469.3
1.15,1,1961,4225,"Low-rise",138.7,176112,202,7776645,24418667,44.2,138.7,469.3
1.02,1.5,851,5371,"Low-rise",93,199925,204,10788492,18589519,54,93,79.26
1.44,1,1621,4334,"High-rise",159.5,144000,208,11202485,22963909,77.8,159.5,469.3
0.7,1.3,100,5094,"High-rise",94.8,299120,208,13530902,28352845,45.2,94.8,469.3
1.02,1.2,1272,4423,"High-rise",154.6,209672,213,17610809,32412021,84,154.6,79.26
1.29,1.1,1272,4423,"Mid-rise",118.5,165436,214,12935617,19605326,78.2,118.5,79.26
1.68,1,2138,2821,"High-rise",234.1,127625,215,10419430,29880004,81.6,234.1,469.3
0.78,1.5,1272,4423,"High-rise",118.7,277155,216,20912205,32901900,75.5,118.7,79.26
