"SQFT","NFLOOR","NELVTR","NESLTR","COURT","MONUSE","OPNWE","WKHRS","NWKER","COOK","MANU","HEATP","COOLP","SNACK","FASTFD","CAF","FDPREP","KITCHN","BREAKRM","OTFDRM","LABEQP","MCHEQP","POOL","HTPOOL","RFGWIN","RFGOPN","RFGCLN","RFGVNN","RFGICN","PCTERMN","LAPTPN","PRNTRN","SERVERN","TVVIDEON","RGSTRN","COPIERN","HDD65","CDD65","PBAPLUS","PBA","FINALWT","MFBTU","ELBTU","NGBTU","FKBTU","DHBTU","ONEACT","ACT1","ACT2","ACT3","ACT1PCT","ACT2PCT","ACT3PCT","PRAMTC","PRUNIT","CWUSED","WOUSED","COUSED","SOUSED","RFGSTP","RWSEAT","ELBTU0","NGBTU0","FKBTU0","DHBTU0","SOURCE_ENERGY","SOURCE_EUI","SITE_EUI"
22000,2,NA,NA,NA,12,1,40,3,1,2,100,100,2,2,2,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,2,1,17,NA,1,2395,2409,21,12,3782.1801042,483184,483184,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,250,1352915.2,NA,NA,NA,1352915.2,61.5,21.96
4700,1,NA,NA,NA,12,1,4,7,1,2,100,100,2,2,2,2,1,2,2,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,1,0,1,NA,1,1285,2296,21,12,1107.7533448,91148,91148,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,300,255214.4,NA,NA,NA,255214.4,54.3,19.39
3500,1,NA,NA,NA,12,1,6,0,2,2,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,1,NA,NA,948,3627,21,12,1879.4560061,14576,14576,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,125,40812.8,NA,NA,NA,40812.8,11.66,4.16
23000,1,NA,NA,NA,12,1,10,1,1,2,30,30,2,2,2,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,0,NA,NA,1,3045,1653,21,12,897.68590511,197801,60143,137658,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,500,168400.4,144540.9,NA,NA,312941.3,13.61,8.6
54000,2,NA,NA,NA,12,1,50,2,1,2,50,NA,2,2,2,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,NA,NA,1,6603,565,21,12,653.84310688,1601999,747764,854235,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,700,2093739.2,896946.75,NA,NA,2990685.95,55.38,29.67
7600,2,NA,NA,NA,12,1,22,1,2,2,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,NA,NA,1,3999,1442,21,12,1807.4628666,239584,239584,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,350,670835.2,NA,NA,NA,670835.2,88.27,31.52
2700,1,NA,NA,NA,12,1,4,4,2,2,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,3036,2052,21,12,1807.4628666,58898,58898,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,175,164914.4,NA,NA,NA,164914.4,61.08,21.81
34000,2,NA,NA,NA,12,1,24,6,1,2,100,25,2,2,2,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,3,3,1,NA,1599,2782,21,12,1867.0570666,786311,190888,595423,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,700,534486.4,625194.15,NA,NA,1159680.55,34.11,23.13
7300,2,NA,NA,NA,12,1,60,5,2,2,100,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,3,2,2,NA,NA,6560,876,21,12,1559.8286174,282348,128598,153750,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,225,360074.4,161437.5,NA,NA,521511.9,71.44,38.68
31000,1,NA,NA,NA,12,1,80,3,1,2,40,100,2,2,2,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,8,11,0,3,1,2,846,3584,21,12,657.71092576,1041673,1041673,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,1000,2916684.4,NA,NA,NA,2916684.4,94.09,33.6
8000,2,NA,NA,NA,12,1,15,3,1,2,100,66,1,2,2,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,0,2,NA,1,5249,935,21,12,1879.4560061,193742,59672,134070,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,150,167081.6,140773.5,NA,NA,307855.1,38.48,24.22
96000,2,NA,NA,NA,12,1,48,26,1,2,80,60,2,2,2,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,10,6,10,1,1,NA,2,2893,1642,21,12,2003.5261232,2008834,1223069,785765,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,700,3424593.2,825053.25,NA,NA,4249646.45,44.27,20.93
1800,1,NA,NA,NA,12,1,8,3,2,2,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,0,NA,NA,NA,4047,1374,21,12,1807.4628666,13938,13938,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,NA,100,39026.4,NA,NA,NA,39026.4,21.68,7.74
42000,2,1,NA,NA,12,1,54,32,1,2,100,100,2,2,1,2,2,1,2,NA,NA,NA,NA,1,NA,NA,2,1,13,3,9,2,18,NA,3,2406,3060,21,12,226.82776714,2224574,1282189,942385,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,600,3590129.2,989504.25,NA,NA,4579633.45,109.04,52.97
34000,2,NA,NA,NA,12,1,15,5,1,2,50,40,2,2,2,1,1,2,2,NA,NA,NA,NA,NA,NA,3,NA,NA,0,0,NA,0,4,NA,NA,3979,1458,21,12,647.9871845,551936,125023,426913,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,600,350064.4,448258.65,NA,NA,798323.05,23.48,16.23
11500,1,NA,NA,NA,12,1,23,3,2,2,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,NA,NA,5727,728,21,12,1145.0798138,1156252,294534,861718,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,600,824695.2,904803.9,NA,NA,1729499.1,150.39,100.54
5000,1,NA,NA,NA,12,1,75,4,1,2,100,100,1,2,2,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,1,0,1,NA,1,2059,1731,21,12,1667.7551609,366695,256405,110290,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,700,717934,115804.5,NA,NA,833738.5,166.75,73.34
6000,1,NA,NA,NA,12,1,8,11,1,2,100,100,2,2,2,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,NA,NA,1,3458,1436,21,12,1807.4628666,109239,58809,50430,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,125,164665.2,52951.5,NA,NA,217616.7,36.27,18.21
