"GFA","NumBldgs","NumFlors","BuildQlty","ConClass","HeatSys","Shape","Age","ENERGYSTARScore","SourceEUI","SiteEnergy","SourceEnergy"
43016,1,2,"AVERAGE","MASONRY","SPACE HEATERS","Rect or Slight Irreg",38,100,35.40000153,1234095.5,1522766.46581448
20671,1,2,"AVERAGE","WOOD FRAME","FORCED AIR UNIT","Rect or Slight Irreg",77,98,52.5,638507.125,1085227.5
31774,1,3,"AVERAGE","WOOD FRAME","COMPLETE HVAC","Rect or Slight Irreg",101,85,142.1000061,1639136.25,4515085.5938214
23687,1,2,"AVERAGE","MASONRY","SPACE HEATERS","Rect or Slight Irreg",34,68,143.8000031,1084553.75,3406190.6734297
24221,1,2,"AVERAGE","MASONRY","SPACE HEATERS","Rect or Slight Irreg",34,20,186.1000061,1435562.75,4507528.2477481
34030,1,3,"AVERAGE","MASONRY","WARMED AND COOLED AIR","Rect or Slight Irreg",38,50,147.8999939,1748629.875,5033036.792417
32027,1,2,"AVERAGE","WOOD FRAME","SPACE HEATERS","Rect or Slight Irreg",117,54,249.8999939,3999505.25,8003547.1046353
32160,1,3,"AVERAGE","MASONRY","STEAM WITHOUT BOILER","Rect or Slight Irreg",111,NA,176.5,2805826,5676240
34425,1,3,"LOW COST","WOOD FRAME","SPACE HEATERS","Rect or Slight Irreg",103,84,94.19999695,2018385.75,3242834.89500375
25200,1,3,"AVERAGE","MASONRY","WARMED AND COOLED AIR","Rect or Slight Irreg",110,47,181.8000031,1748444.25,4581360.07812
28296,1,2,"AVERAGE","MASONRY","HEAT PUMP","Rect or Slight Irreg",54,80,155.1000061,1328461.25,4388709.7726056
31357,1,3,"AVERAGE/GOOD","REINFORCED CONCRETE","PACKAGE UNIT","Very Irreg",18,55,189.3000031,1965075.625,5935880.1972067
24291,1,1,"AVERAGE","MASONRY","SPACE HEATERS","Rect or Slight Irreg",64,98,57.29999924,655422.375,1391874.28153884
24291,1,2,"AVERAGE","WOOD FRAME","WARMED AND COOLED AIR","Rect or Slight Irreg",43,87,119,920430.625,2890629
23143,1,1,"AVERAGE","MASONRY","SPACE HEATERS","Rect or Slight Irreg",34,75,94.09999847,1139980.625,2177756.26459121
28800,1,1,"AVERAGE","MASONRY","FORCED AIR UNIT","Rect or Slight Irreg",55,73,98.19999695,2107743.75,2828159.91216
34110,1,2,"AVERAGE/GOOD","MASONRY","(unknown)","Rect or Slight Irreg",57,31,236,2563985.5,8049960
47368,1,2,"AVERAGE","MASONRY","HEAT PUMP","Rect or Slight Irreg",38,99,69.09999847,1042652.625,3273128.72752696
72613,1,5,"AVERAGE","REINFORCED CONCRETE","WARMED AND COOLED AIR","Rect or Slight Irreg",33,84,142.3000031,2602213.75,10332830.1251003
36000,1,2,"AVERAGE","MASONRY","SPACE HEATERS","Rect or Slight Irreg",110,95,77.69999695,1046187.625,2797199.8902
53840,1,4,"AVERAGE","MASONRY","STEAM","Rect or Slight Irreg",104,71,185.6000061,2912454.75,9992704.328424
20317,1,2,"AVERAGE","MASONRY","COMPLETE HVAC","Rect or Slight Irreg",50,83,96,620994.3125,1950432
20460,1,1,"AVERAGE","MASONRY","SPACE HEATERS","Rect or Slight Irreg",91,16,138.6999969,903541.875,2837801.936574
36879,1,3,"LOW COST","MASONRY","ELECTRIC WALL","Rect or Slight Irreg",47,26,213.1999969,1144267.5,7862602.6856751
43473,1,3,"AVERAGE/GOOD","MASONRY","COMPLETE HVAC","Long Rect or Irreg",17,3,319,4416909.5,13867887
32250,1,5,"LOW COST","MASONRY","ELECTRIC WALL","Rect or Slight Irreg",107,92,69.19999695,796042.375,2231699.9016375
20150,1,2,"LOW COST","MASONRY","SPACE HEATERS","Rect or Slight Irreg",97,80,89.80000305,576174.125,1809470.0614575
36000,1,7,"LOW COST","MASONRY","ELECTRIC WALL","Rect or Slight Irreg",108,40,167.6999969,1682454.875,6037199.8884
22580,1,1,"AVERAGE","MASONRY","SPACE HEATERS","Rect or Slight Irreg",90,90,122.8000031,928584.875,2772824.069998
39036,1,2,"AVERAGE","WOOD FRAME","COMPLETE HVAC","Rect or Slight Irreg",80,NA,84.90000153,1528295.75,3314156.45972508
26310,1,1,"LOW COST","WOOD FRAME","WARMED AND COOLED AIR","Rect or Slight Irreg",94,96,58.70000076,771512.6875,1544397.0199956
39953,1,2,"AVERAGE","WOOD FRAME","PACKAGE UNIT","Rect or Slight Irreg",46,93,131,1508561.875,5233843
23250,1,2,"AVERAGE","WOOD FRAME","FORCED AIR UNIT","Rect or Slight Irreg",50,55,129,904236,2999250
23022,1,4,"AVERAGE/GOOD","REINFORCED CONCRETE","HEAT PUMP","Rect or Slight Irreg",37,78,125.4000015,1027230.875,2886958.834533
23355,1,3,"AVERAGE","WOOD FRAME","WARMED AND COOLED AIR","Rect or Slight Irreg",68,77,120.4000015,840549.375,2811942.0350325
30840,1,4,"AVERAGE","WOOD FRAME","FORCED AIR UNIT","Rect or Slight Irreg",52,30,251.6000061,3542708.5,7759344.188124
307557,1,13,"AVERAGE/GOOD","REINFORCED CONCRETE","COMPLETE HVAC","Rect or Slight Irreg",34,NA,128,9512829,39367296
38376,1,5,"GOOD","MASONRY","HOT WATER","Rect or Slight Irreg",117,NA,204.1000061,2058532.875,7832541.8340936
42804,1,4,"AVERAGE","MASONRY","STEAM WITHOUT BOILER","Rect or Slight Irreg",117,NA,105.1999969,1544501.75,4502980.6673076
33300,1,4,"AVERAGE","MASONRY","STEAM","Rect or Slight Irreg",117,NA,108.0999985,1287497.375,3599729.95005
48350,1,4,"AVERAGE","STRUCTURAL STEEL","COMPLETE HVAC","Rect or Slight Irreg",9,45,226.6000061,3168131,10956110.294935
