"GFA","NumBldgs","NumFlors","BuildQlty","ConClass","HeatSys","Shape","Age","ENERGYSTARScore","SourceEUI","SiteEnergy","SourceEnergy"
198202,3,5,"AVERAGE","WOOD FRAME","PACKAGE UNIT","Rect or Slight Irreg",4,"100",71.40000153,6413181.5,14151623.1032491
227672,1,6,"GOOD","WOOD FRAME","ELECTRIC","Very Irreg",4,"70",70,5258024.5,15937040
28200,1,4,"AVERAGE","WOOD FRAME","ELECTRIC","Rect or Slight Irreg",4,"26",94.69999695,784329.5,2670539.91399
83999,1,4,"AVERAGE/GOOD","WOOD FRAME","ELECTRIC WALL","Long Rect or Irreg",4,"93",64.80000305,2330242,5443135.45619695
49970,1,4,"AVERAGE","WOOD FRAME","ELECTRIC","Rect or Slight Irreg",4,"61",103.8000031,1237252.75,5186886.154907
161722,1,13,"GOOD/EXCELLENT","REINFORCED CONCRETE","COMPLETE HVAC","Approx Square",4,"71",93.69999695,4634655,15153350.9067479
305925,2,7,"AVERAGE/GOOD","WOOD FRAME","ELECTRIC","Very Irreg",4,"100",64.69999695,7545909.5,19793346.5669287
61558,1,4,"AVERAGE/GOOD","WOOD FRAME","COMPLETE HVAC","Rect or Slight Irreg",4,NA,73.90000153,1327353.25,4549136.29418374
29158,1,4,"AVERAGE","WOOD FRAME","ELECTRIC","Rect or Slight Irreg",4,"100",59,812587.875,1720322
87958,1,4,"AVERAGE/GOOD","WOOD FRAME","ELECTRIC","Very Irreg",4,"95",63.20000076,2606130.75,5558945.66684808
23397,1,4,"AVERAGE","WOOD FRAME","ELECTRIC","Rect or Slight Irreg",4,"NULL",84.59999847,806398.1875,1979386.16420259
122941,1,4,"AVERAGE/GOOD","WOOD FRAME","ELECTRIC WALL","Long Rect or Irreg",3,"94",104.5,2014148,12847334.5
145716,1,7,"AVERAGE/GOOD","WOOD FRAME","ELECTRIC","Rect or Slight Irreg",3,"98",69,3276819,10054404
34723,1,4,"AVERAGE","WOOD FRAME","ELECTRIC","Long Rect or Irreg",3,"57",128.6999969,1696024.5,4468849.9923587
55113,1,6,"AVERAGE/GOOD","WOOD FRAME","PACKAGE UNIT","Rect or Slight Irreg",3,"99",89.5,1199392,4932613.5
209583,1,7,"AVERAGE","WOOD FRAME","ELECTRIC","Rect or Slight Irreg",3,"96",49.90000153,5590266.5,10458192.020662
237186,1,25,"GOOD","STRUCTURAL STEEL","COMPLETE HVAC","Rect or Slight Irreg",3,"34",158,11951945,37475388
93179,1,3,"GOOD","WOOD FRAME","PACKAGE UNIT","Very Irreg",3,"93",77.40000153,2115666,7212054.74256387
292376,4,6,"GOOD","WOOD FRAME","ELECTRIC","Rect or Slight Irreg",3,"100",82.19999695,10084950,24033306.3082532
137068,1,7,"GOOD","WOOD FRAME","ELECTRIC","Rect or Slight Irreg",3,"98",99.19999695,3048317.5,13597145.1819426
103100,1,7,"GOOD","STRUCTURAL STEEL","ELECTRIC","Rect or Slight Irreg",3,"76",109.8000031,3344833,11320380.31961
447915,3,6,"AVERAGE/GOOD","WOOD FRAME","COMPLETE HVAC","Long Rect or Irreg",3,"100",64.69999695,8437401,28980099.1338593
84891,1,6,"AVERAGE","WOOD FRAME","ELECTRIC","Long Rect or Irreg",3,"100",55.29999924,2324764,4694472.23548284
