BBL,StreetNumber,StreetName,Boroguth,ZipCode_ll84,SourceEUI,WeatherNormalizedSourceEUI,ENERGYSTARScore,Reported_Property_FloorArea_Building,DOF_Property_FloorArea_Buildngs_and_Parking,Primary_Property_Type_Self_Selected,DOF_Number_of_Buildings,TotalEnergy,Borough,Block,Lot,ZipCode_pluto,Address,LandUse,BldgArea,BldgClass,AssessTot,AssessLand,LotArea,NumBldgs,NumFloors,UnitsTotal,UnitsRes,ComArea,ResArea,YearBuilt,YearAlter1,YearAlter2,BldgFront,BldgDepth,AreaUnitPrice
1013370014,323,EAST   44 STREET,MANHATTAN,10017,200.5,197.1,67,565e3,6e5,Office,1,1203e5,MN,1337,14,10017,323 EAST 44 STREET,5,600000,O4,68312250,14850000,30125,1,39,14,0,368000,0,1984,2012,2015,150,176,113.85375
1012920015,590,MADISON AVENUE,MANHATTAN,10022,218.8,216.5,60,1196354,999646,Office,1,218722544.8,MN,1292,15,10022,590 MADISON AVENUE,5,999646,O4,288891900,38653200,39162,1,43,0,0,999646,0,1981,2014,0,195,190,288.99420394819765
1012597502,522,5 AVENUE,MANHATTAN,10036,180.5,179,87,547349,431e3,Financial Office,1,77795500,MN,1259,7502,10036,522 5 AVENUE,5,379888,RC,99304651,29249942,27025,1,23,10,0,379888,0,1919,1961,1995,115.83,250,261.4050746535821
1012687501,49,WEST   52 STREET,MANHATTAN,10019,254.1,251.9,75,837431,730175,Office,1,185537467.5,MN,1268,7501,10019,44 WEST 53 STREET,5,730175,RC,182581200,35526600,45925,1,29,2,0,730175,0,1986,0,0,0,0,250.05128907453692
1010050029,1301,AVENUE OF THE AMER,MANHATTAN,10019,210,209.4,68,2043271,1482208,Office,3,311263680,MN,1005,29,10019,1301 AVENUE OF THE AMER,5,1482208,O4,322369650,142650000,74631,1,46,3,0,1482208,0,1965,1989,0,159.67,345.58,217.49285525378355
1019630060,1255,AMSTERDAM AVENUE,MANHATTAN,10027,59.8,,100,139392,130228,Office,2,7787634.4,MN,1963,60,10027,1255 AMSTERDAM AVENUE,8,130228,W6,61318350,1020600,25669,2,0,2,0,130228,0,2013,0,0,0,90,470.8538102405013
1012890052,527,MADISON AVENUE,MANHATTAN,10022,193.7,187.1,78,246476,197948,Office,1,38342527.6,MN,1289,52,10022,527 MADISON AVENUE,5,197948,O4,59633550,10935000,11650,1,25,31,0,197948,0,1985,0,0,60,148,301.2586638915271
1007680050,220,WEST   19 STREET,MANHATTAN,10011,171.5,169.5,75,110032,115433,Office,1,19796759.5,MN,768,50,10011,220 WEST 19 STREET,5,115433,O6,12146400,976500,8379,1,12,39,0,115433,0,1910,1985,2008,92,90,105.22467578595376
4004350001,24-01,44 ROAD,QUEENS,11101,228.5,226.8,,275252,274433,Office,1,62707940.5,QN,435,1,11101,24-01 44 ROAD,5,274433,O3,21855150,904500,20100,1,16,1,0,274433,0,2005,0,0,90,183,79.63747071234144
1008330011,1240,BROADWAY,MANHATTAN,10001,208.6,205.5,80,719481,645977,Office,1,134750802.2,MN,833,11,10001,1240 BROADWAY,5,645977,O4,91552950,29610000,30750,1,39,55,0,645977,0,1969,2014,0,207,186,141.72787885636794
1013940001,505,PARK AVENUE,MANHATTAN,10022,121.7,122.3,97,226421,220510,Office,1,26836067,MN,1394,1,10022,505 PARK AVENUE,5,220510,O4,35895600,12780000,10543,1,21,44,0,220510,0,1949,1986,2014,100,105,162.78445421976326
4051650001,56-45,MAIN STREET,QUEENS,11355,555.1,550.6,53,590371,577654,Hospital (General Medical & Surgical),1,320655735.4,QN,5165,1,11355,56-45 MAIN STREET,8,577654,I1,53084700,3374550,234336,3,8,1,0,577654,0,1957,1999,0,220,50,91.89705256087554
4017870020,123-01,ROOSEVELT AVENUE,QUEENS,11368,164.4,165.2,,1242968,125e4,Other - Entertainment/Public Assembly,1,2055e5,QN,1787,20,11368,123-01 ROOSEVELT AVENUE,9,1250000,Q6,920646000,395258850,2747985,1,6,1,0,1250000,0,2005,0,0,800,170,736.5168
1013747501,55,EAST   59 STREET,MANHATTAN,10022,207.7,208.1,72,295782,273481,Office,1,56802003.7,MN,1374,7501,10022,55 EAST 59 STREET,5,303085,RC,58895569,10381500,13406,1,24,39,0,303085,0,1985,0,0,132,100,194.3203028853292
1010400029,815,8 AVENUE,MANHATTAN,10019,210,208.1,74,1824886,1596521,Office,1,335269410,MN,1040,29,10019,815 8 AVENUE,5,1596521,O4,368075250,54900900,58241,1,49,1,0,1596521,0,1987,2012,0,200,290,230.54832977455354
1009230001,302,2 AVENUE,MANHATTAN,10003,538.9,531,23,338424,327933,Hospital (General Medical & Surgical),1,176723093.7,MN,923,1,10003,302 2 AVENUE,8,327933,I9,37485900,6975000,22940,1,17,1,0,327933,0,1978,0,0,150,102,114.30963032082774
1012710071,1368,AVENUE OF THE AMER,MANHATTAN,10019,258.2,254.3,47,320625,311501,Office,1,80429558.2,MN,1271,71,10019,1370 AVENUE OF THE AMER,5,311501,O4,70974000,9494100,14059,1,32,87,0,311501,0,1971,2002,0,85,112,227.84517545690062
1012790057,352,MADISON AVENUE,MANHATTAN,10017,240,236.4,,298639,380776,Office,1,91386240,MN,1279,57,10017,352 MADISON AVENUE,5,380776,O4,56827350,11790000,18800,1,25,2,0,380776,0,1922,2001,2001,115.42,175,149.2408922831271
1015000001,1070,5 AVENUE,MANHATTAN,10128,300.5,300.5,37,125362,93924,Office,1,28224162,MN,1500,1,10128,1070 5 AVENUE,8,93924,P7,30701700,9630000,24147,1,10,1,0,93924,0,1959,0,0,192,122.17,326.87811422000766
1000747501,199,WATER STREET,MANHATTAN,10038,166,164.2,85,988890,995083,Office,1,165183778,MN,74,7501,10038,199 WATER STREET,5,744146,RC,107702551,23715001,41656,1,35,36,0,744146,0,1993,0,0,0,0,144.7330913557286
1010130029,592,7 AVENUE,MANHATTAN,10036,273.9,272.3,67,957883,11e5,Office,1,30129e4,MN,1013,29,10036,592 7 AVENUE,5,1100000,O4,279725850,5756400,27156,1,38,4,0,1100000,0,2000,0,0,197,125,254.29622727272726
1005780047,250,HUDSON STREET,MANHATTAN,10013,222.9,220.3,91,332960,340618,Office,1,75923752.2,MN,578,47,10013,250 HUDSON STREET,5,340618,O6,49576950,1408500,21862,1,14,20,0,340618,0,1929,2008,2011,169.92,130,145.55000029358402
4041250001,139-10,15 AVENUE,QUEENS,11357,166.1,163.3,,92705,92705,Adult Education,1,15398300.5,QN,4125,1,11357,139-10 15 AVENUE,8,92705,W9,7137450,2551500,234000,1,2,1,0,92705,0,2004,0,0,0,0,76.99099293457742
1001020001,154,NASSAU STREET,MANHATTAN,10038,249.2,249.2,,628399,526781,College/University,1,131273825.2,MN,102,1,10038,154 NASSAU STREET,8,526781,W6,56432700,20659950,108027,1,18,0,0,526781,0,1968,2013,0,140,565,107.12744005573474
1021360245,115,FT WASHINGTON AVENUE,MANHATTAN,10032,50.6,48.9,,145e3,527604,Parking,1,26696762.4,MN,2136,245,10032,115 FT WASHINGTON AVENUE,10,527604,G1,14174100,4410450,195350,4,8,1,0,527604,0,1964,2001,0,185,293,26.865035139991356
1005970012,78,VANDAM STREET,MANHATTAN,10013,162.9,157.3,82,427972,374584,Office,1,61019733.6,MN,597,12,10013,78 VANDAM STREET,5,374584,O6,38844450,3622500,37608,1,10,14,0,374584,0,1907,2013,2015,214.42,199.84,103.70023813083314
1013750049,667,MADISON AVENUE,MANHATTAN,10065,218.4,218.4,69,245320,247260,Office,1,54001584,MN,1375,49,10065,667 MADISON AVENUE,5,247260,O4,125874450,45450000,13155,1,24,34,0,247260,0,1985,2012,0,100,131,509.0772870662461
1013130005,111,EAST   58 STREET,MANHATTAN,10022,287.6,287.6,42,538141,596734,Office,1,171620698.4,MN,1313,5,10022,111 EAST 58 STREET,5,596734,O4,112469850,20115000,26750,1,36,29,0,596734,0,1969,0,0,191.5,200,188.47568598403979
1008410054,8,WEST   40 STREET,MANHATTAN,10018,219.5,208.2,67,121758,115307,Office,1,25309886.5,MN,841,54,10018,8 WEST 40 STREET,5,115307,O4,14819850,4950000,6170,1,23,17,0,115307,0,1916,1987,2013,63,96,128.52515458731907
1001270018,253,GREENWICH STREET,MANHATTAN,10007,255,253.7,,507e3,55e4,Office,1,14025e4,MN,127,18,10007,255 GREENWICH STREET,5,550000,O6,57065850,7785000,42601,1,13,9,0,550000,0,1987,2003,0,165,287,103.75609090909091
1000920005,161,WILLIAM STREET,MANHATTAN,10038,179.3,175.5,,187518,177433,College/University,1,31813736.9,MN,92,5,10038,161 WILLIAM STREET,5,177433,O4,19679400,5400000,10586,1,22,15,0,177433,0,1951,2009,0,83,119,110.91172442555782
1012870052,485,MADISON AVENUE,MANHATTAN,10022,207.9,,76,263067,244668,Office,1,50866477.2,MN,1287,52,10022,485 MADISON AVENUE,5,244668,O4,41466600,10755000,12501,1,24,29,0,244668,0,1929,0,0,100,120,169.48109274608856
1013080033,880,3 AVENUE,MANHATTAN,10022,188.6,185.7,63,142235,140400,Office,1,26479440,MN,1308,33,10022,880 3 AVENUE,5,140400,O6,21794400,5220000,9500,1,18,20,0,140400,0,1964,1989,0,100,92,155.23076923076923
1012590001,1120,AVENUE OF THE AMER,MANHATTAN,10036,169.3,,83,623044,615e3,Office,1,104119500,MN,1259,1,10036,1120 AVENUE OF THE AMER,5,615000,O4,84514500,22004550,48199,1,21,1,0,615000,0,1962,2004,2010,201,240,137.4219512195122
1019920013,3041,BROADWAY,MANHATTAN,10027,126.2,,65,38e4,176878,Residence Hall/Dormitory,1,22322003.6,MN,1992,13,10027,3041 BROADWAY,8,176878,W7,30944250,3091500,90734,3,7,1,0,176878,0,1926,1989,0,453.67,46,174.94685602505683
