PropertyId,PropertyName,BBL10digits,PostalCode,StreetNumber,StreetName,Borough_ll84,DOFGrossFloorArea,PrimaryPropertyTypeSelfSelected,ListofAllPropertyUseTypesatProperty,LargestPropertyUseType,LargestPropertyUseTypeGrossFloorArea,X2ndLargestPropertyUseType,X2ndLargestPropertyUseGrossFloorArea,X3rdLargestPropertyUseType,X3rdLargestPropertyUseTypeGrossFloorArea,YearBuilt_ll84,NumberofBuildingsSelfreported,Occupancy,MeteredAreas.Energy.,ENERGYSTARScore,WeatherNormalizedSiteElectricity_kWh,SourceEUI,SiteEUI,BBL,Borough_pluto,Block,Lot,ZipCode,Address,LandUse,BldgArea,BldgClass,AssessTot,AssessLand,LotArea,NumBldgs,NumFloors,UnitsTotal,UnitsRes,ComArea,ResArea,YearBuilt_pluto,YearAlter1,YearAlter2,BldgFront,BldgDepth
4358005,Kelly Student Commons,2057770719,10463,3830,WALDO AVENUE,Bronx,54392,College/University,College/University,College/University,70000,,,,,2014,1,100,Whole Building,,1180196.8,233.9,106,2057770719,BX,5777,719,10463,3830 WALDO AVENUE,8,54392,W6,3208500,450000,57750,1,5,1,0,54392,0,2013,0,0,105,170
2805450,3800 Waldo Avenue - 25121,2057770772,10463,3800,WALDO AVENUE,Bronx,154640,Multifamily Housing,Multifamily Housing,Multifamily Housing,170104,,,,,1966,1,100,Whole Building,37,811001,147.2,110.5,2057770772,BX,5777,772,10463,3800 WALDO AVENUE,3,154640,D4,3013200,853650,67750,1,20,173,173,0,154640,1966,0,0,56.42,131.5
4415034,The Waterford Condominium,2057777501,10463,3816,WALDO AVENUE,Bronx,59005,Multifamily Housing,Multifamily Housing,Multifamily Housing,59005,,,,,2004,1,95,Whole Building,16,428810.4,136.9,78.3,2057777501,BX,5777,7501,10463,3816 WALDO AVENUE,4,32320,RM,2317050,100810,15009,1,7,25,24,4000,28320,2004,0,0,71.7,75.1
2609568,Overlook Manor,2057790801,10463,3801,WALDO AVENUE,Bronx,92000,Residence Hall/Dormitory,Residence Hall/Dormitory,Residence Hall/Dormitory,111285,,,,,1962,1,100,Whole Building,67,578189.6,112.2,70.6,2057790801,BX,5779,801,10463,3801 WALDO AVENUE,3,92000,D1,2923650,592200,32900,1,6,95,95,6300,85700,1961,0,0,162,102
2702440,Benchmarking Mgmt- 3840 Greystone Tenants Corp.,2057790820,10463,3840,GREYSTONE AVENUE,Bronx,186480,Multifamily Housing,"Multifamily Housing, Parking",Multifamily Housing,186480,Parking,3000,,,1951,1,100,Whole Building,93,480335.6,80.8,60.5,2057790820,BX,5779,820,10463,3840 GREYSTONE AVENUE,3,186480,D4,4785750,520650,38575,1,6,127,127,0,186480,1951,0,0,180,168
2669020,445 West 240th St,2057807501,10463,445,WEST 240 STREET,Bronx,95061,Multifamily Housing,Multifamily Housing,Multifamily Housing,78551,,,,,1949,1,100,Whole Building,97,469500.5,74.1,28.8,2057807501,BX,5780,7501,10463,445 WEST 240 STREET,3,78551,R4,2683802,348301,32412,2,6,78,78,0,78551,1949,0,0,0,0
2669030,511 West 232nd St,2057830300,10463,511,WEST 232 STREET,Bronx,69441,Multifamily Housing,"Multifamily Housing, Parking",Multifamily Housing,69441,Parking,0,,,1937,1,100,Whole Building,46,320241.4,125.9,87.7,2057830300,BX,5783,300,10463,511 WEST 232 STREET,3,69441,D4,1594800,378000,33825,1,7,66,66,0,69441,1937,0,0,122.83,216.58
2817574,500w235,2057840340,10463,500,WEST 235 STREET,Bronx,92600,Multifamily Housing,Multifamily Housing,Multifamily Housing,92800,,,,,1954,1,100,Whole Building,22,,157.4,125.1,2057840340,BX,5784,340,10463,500 WEST 235 STREET,3,92600,D1,2524500,367650,23335,1,7,87,87,0,92600,1954,0,0,168,155
5869891,Orsid - 3299 Cambridge Avenue,2057850268,10463,3299,CAMBRIDGE AVENUE,Bronx,111675,Multifamily Housing,Multifamily Housing,Multifamily Housing,112000,,,,,1954,1,100,Whole Building,,436534.2,75.3,43.9,2057850268,BX,5785,268,10463,3299 CAMBRIDGE AVENUE,3,111675,D4,2350350,272250,27502,1,6,84,84,0,111675,1954,0,0,225,103
2773361,3235 Cambridge Owners Inc,2057850284,10463,5620,SYLVAN AVENUE,Bronx,80120,Multifamily Housing,"Multifamily Housing, Parking",Multifamily Housing,70120,Parking,0,,,1960,1,100,Whole Building,,292647.6,175.9,138.4,2057850284,BX,5785,284,10463,5620 SYLVAN AVENUE,3,80120,D4,1967850,252000,25625,1,6,77,77,0,80120,1960,0,0,94,161
