SourceEUI,YearAlter1,LandUse,BBL,logkBTU,DOF_Property_Area,BldgClass,AssessTot,AssessLand,BldgArea,LotArea,NumBldgs,NumFloors,UnitsTotal,UnitsRes,ComArea,ResArea,YearBuilt,BldgFront,BldgDepth,AreaUnitPrice
261.3,0,5,1000627501,20.1415345232436,2139035,RB,289783352,69750003,1690747,95348,1,54,17,0,1690747,0,1973,,,171.39368101791692
169.6,1981,3,1000640008,17.161870857645,167448,D4,16893000,1566e3,167448,5198,1,33,92,87,7056,160392,1911,58,84,100.88505088146768
157.3,1986,5,1000640012,17.5995168500765,279669,O3,31445550,6345e3,279669,13133,1,23,55,0,279669,0,1924,95,138,112.43845402958497
239.2,0,5,1000640015,17.3956905951549,15e4,O3,8960400,3105e3,15e4,13802,4,16,77,0,15e4,0,1908,59,247,59.736
148.4,0,5,1000650007,16.7352600876932,124910,O3,9946800,2038500,124910,9066,1,20,0,0,124910,0,1908,72.33,143.92,79.63173484909134
262.4,1985,3,1000650010,16.5441532442774,58354,D5,5572350,1309500,58354,4792,1,15,68,66,6856,51498,1900,56,84,95.49216848887822
128.4,1979,3,1000650017,16.887916720319,168176,D4,15111450,3375e3,168176,11960,1,14,83,76,11e3,157176,1927,78,135,89.85497336124061
262.7,0,5,1000660001,18.9402361520273,64e4,O9,60624900,153e5,64e4,49440,1,14,0,0,64e4,0,1922,408,165,94.72640625
161.4,1989,5,1000670023,18.3165858470611,558327,O3,55618200,9855e3,558327,23382,1,27,10,0,558327,0,1986,157,115,99.61581653762043
246.1,2005,5,1000680007,17.4598173728839,155450,O2,12297150,2137500,155450,10894,1,13,2,0,155450,0,1958,106.08,132.58,79.10678674815053
233.8,2008,5,1000680028,16.6324640835593,71539,HB,13023900,18e5,2160,4636,1,18,2,0,2160,0,1998,27,103,6029.583333333333
122.7,0,3,1000690006,17.1201750125713,222e3,D8,23361300,3744e3,222e3,16642,1,28,194,189,23500,198500,2007,123,139,105.23108108108109
149.3,0,3,1000690018,18.3551857014941,627330,D8,62619300,5535e3,627330,24128,2,51,652,650,28964,598366,2003,80,195,99.81875567882932
134,2011,4,1000690032,17.6300098595504,338463,D7,30374550,3514500,338463,11550,1,35,418,416,7905,330558,1931,123,118,89.7426011114952
133.2,0,4,1000697502,17.7194789075714,372364,RM,25632900,2785500,344914,14851,1,29,222,221,130550,214364,1931,131,100,74.31678621337493
236.6,0,5,1000707501,18.2144829635918,343902,RC,28147048,7920001,255863,20329,1,16,44,0,255863,0,1958,81,246,110.0082778674525
143.7,1979,4,1000710001,15.8451899088348,52969,D7,5132700,189e4,52969,9026,1,9,66,63,2014,50955,1930,79.42,95,96.90007362797108
237.9,0,5,1000717501,18.7426337998315,58e4,RC,57997793,14039965,462377,24121,1,30,30,0,462377,0,1983,,,125.43399217521633
55,0,6,1000720013,14.9841152184524,58500,L2,3401550,1827900,58500,6552,1,10,2,0,58500,0,1915,25,158,58.146153846153844
166,0,5,1000747501,18.9225692181037,995083,RC,97973110,23714998,744146,41656,1,35,36,0,744146,0,1993,,,131.65845143291773
154,1998,3,1000750001,18.2381271602422,541e3,D8,59809950,9585e3,541e3,33294,1,31,579,576,12e3,529e3,1973,84,243,110.55443622920518
200,1989,5,1000750021,17.6637542206726,234553,O4,15826950,4545e3,234553,11828,1,28,34,0,234553,0,1987,101.5,52.08,67.47707341197938
196.6,0,5,1000750030,17.8795426648196,296076,O3,14662350,6165e3,296076,31876,1,26,80,0,296076,0,1929,192,111,49.522251043650954
124.7,0,4,1000760024,15.86125202767,62028,D6,8084700,1889100,62028,4575,3,14,57,56,13593,48435,2009,,,130.3395240858967
695.2,0,4,1000767501,18.517564325311,158477,RM,15304500,2317500,158477,10030,1,30,157,156,15851,142626,2000,60,90,96.57237327814131
206,0,4,1000767502,18.3927354255454,472059,RM,42255024,7065009,388570,29668,1,25,440,438,40318,348252,2003,128,172,108.74494685642226
166.2,2000,4,1000770001,17.0961209766373,16e4,D7,13540950,4545e3,16e4,12180,1,14,163,160,12600,147400,1926,65,156,84.6309375
117.5,2011,5,1000770008,18.3439974932289,788241,O3,60450750,1449e4,788241,32511,1,31,1,0,788241,0,1956,188.25,173.42,76.69069485094026
140.8,1990,4,1000780001,16.198745288259,76988,D7,5134950,850500,76988,3718,1,16,32,30,20250,56738,1905,81,46,66.69805684002702
104.7,0,5,1000780004,17.7594426752776,493039,O3,43583850,8595e3,493039,21242,1,26,56,0,493039,0,1912,130.5,169.5,88.39838227807536
125,2007,8,1000780011,16.4280772309049,109072,H8,13256550,306e4,2275,7160,1,17,2,0,2275,0,1900,81.08,86.1,5827.054945054945
196.8,1989,8,1000780020,16.5056030400799,74863,H8,9099000,243e4,22468,5646,1,15,3,0,22468,0,1900,50,110,404.9759658180523
