"Total.gross.floor.area","Total.number.of.units","Unit.Density","Bedrooms.Unit","Number.of.BRs","CDD","HDD","Building.Type.Property.Level","Total.SOURCE.kBtu","Total.SITE.kBtu","Source.EUI.using.Total.gross.floor.area","Site.EUIusing.Total.gross.floor.area","Survey.Weights.for.ENERGY.STAR.score.analysis"
79000,83,1.05,1.1,95,1272,4423,"Mid-rise",9982630,7666318,126.4,97,433
100315,83,0.83,1.2,96,1272,4423,"Mid-rise",8717223,5296833,86.9,52.8,433
111675,84,0.75,1.988,167,1272,4423,"Mid-rise",13229781,9550210,118.5,85.5,433
85475,84,0.98,1,84,1734,4461,"Low-rise",11527079,6165627,134.9,72.1,925.04
86532,84,0.97,1.1,96,1217,5412,"High-rise",12611532,8371631,145.7,96.7,925.04
79805,85,1.07,1.1,90,1093,4856,"Low-rise",11296523,4168394,141.6,52.2,433
102454,86,0.84,2.4,207,1749,4585,"Low-rise",18579684,8632120,181.3,84.3,925.04
42180,88,2.09,1,88,34,3345,"Mid-rise",4971138,2849906,117.9,67.6,925.04
101200,88,0.87,1.6,143,1272,4423,"Mid-rise",9571408,5441935,94.6,53.8,433
62920,88,1.4,1,91,1272,4423,"High-rise",9417295,6873546,149.7,109.2,433
146706,88,0.6,1.2,104,1165,4570,"Mid-rise",10991612,8269823,74.9,56.4,433
96845,88,0.91,2.2,196,689,5171,"Low-rise",15351724,9928079,158.5,102.5,433
49749,88,1.77,1,88,924,5221,"Mid-rise",7660819,4762132,154,95.7,433
76381,89,1.17,1.4,127,979,5346,"Low-rise",10620829,7273956,139.1,95.2,433
176627,90,0.51,2.3,209,1272,4423,"High-rise",36916244,20987334,209,118.8,433
76508,91,1.19,1.2,106,1272,4423,"High-rise",4666605,1529329,61,20,433
72548,91,1.25,1,93,967,4619,"Mid-rise",9606051,3059252,132.4,42.2,925.04
55250,91,1.65,1,91,327,6728,"Low-rise",5301986,1690877,96,30.6,925.04
68887,93,1.35,1.3,117,1536,4312,"High-rise",13763539,7862867,199.8,114.1,433
286159,93,0.32,2.1,192,1272,4423,"High-rise",43722405,19268820,152.8,67.3,433
61991,94,1.52,1,95,2110,3523,"Low-rise",9724803,4923264,156.9,79.4,925.04
88949,94,1.06,2.2,207,1322,3950,"Low-rise",14828692,8094143,166.7,91,925.04
96420,95,0.99,1.6,156,1272,4423,"High-rise",15044544,7085697,156,73.5,433
79698,96,1.2,1,97,825,5597,"Low-rise",9945241,3167274,124.8,39.7,433
65951,100,1.52,1,100,4114,429,"High-rise",7132322,2271440,108.1,34.4,469.3
78774,100,1.27,2.1,210,926,2835,"Low-rise",6610915,4573619,83.9,58.1,469.3
64758,100,1.54,1,104,2416,2838,"Low-rise",10648539,5766991,164.4,89.1,469.3
109966,100,0.91,1,101,136,3150,"High-rise",10281191,6079493,93.5,55.3,469.3
69360,100,1.44,1.1,105,2055,3246,"Mid-rise",15988087,6627094,230.5,95.5,469.3
182116,100,0.55,3,299,1272,4423,"High-rise",30101157,16183555,165.3,88.9,79.26
89455,100,1.12,1.2,124,1272,4423,"High-rise",19993603,10262835,223.5,114.7,79.26
80096,100,1.25,1.1,112,1820,4889,"Low-rise",15837144,5839539,197.7,72.9,469.3
74799,100,1.34,1,101,834,5180,"Mid-rise",8056356,4191180,107.7,56,79.26
79946,100,1.25,1,101,881,5332,"Mid-rise",10815649,3952525,135.3,49.4,469.3
173700,100,0.58,2.1,210,769,5546,"Low-rise",9484869,3020659,54.6,17.4,469.3
72338,101,1.4,1,102,924,5179,"Mid-rise",9369146,5499400,129.5,76,79.26
92575,101,1.09,1,102,877,5237,"Mid-rise",7799484,4007538,84.3,43.3,79.26
90700,101,1.11,1,106,508,5354,"Mid-rise",8515875,5068454,93.9,55.9,79.26
86850,101,1.16,1,102,387,6260,"Mid-rise",9306095,2963725,107.2,34.1,79.26
80020,103,1.29,1,106,3906,1328,"High-rise",12228944,4759495,152.8,59.5,469.3
80000,103,1.29,1,103,998,5400,"High-rise",11295861,4096461,141.2,51.2,79.26
150621,103,0.68,2,209,1155,5770,"Low-rise",18590748,13474528,123.4,89.5,469.3
87500,103,1.18,1,104,900,6310,"Low-rise",10252135,5751481,117.2,65.7,469.3
81157,104,1.28,1,105,3283,1001,"Mid-rise",9080678,2891936,111.9,35.6,469.3
105000,104,0.99,1.5,160,1165,4570,"Mid-rise",11670484,8262933,111.1,78.7,79.26
62103,104,1.67,1.2,124,475,6315,"Low-rise",13651673,4347666,219.8,70,469.3
132000,106,0.8,1.2,129,1272,4423,"Mid-rise",12157847,8640938,92.1,65.5,79.26
88407,106,1.2,1,106,1219,5764,"Low-rise",13920013,4433125,157.5,50.1,469.3
70458,107,1.52,1.4,147,1536,4312,"Mid-rise",7562659,5322243,107.3,75.5,79.26
57600,107,1.86,1.4,147,1536,4312,"Mid-rise",6128164,4050697,106.4,70.3,79.26
102824,107,1.04,1,108,713,5856,"Mid-rise",10717434,6096466,104.2,59.3,79.26
85960,108,1.26,1,111,585,6702,"Mid-rise",14491603,8952303,168.6,104.1,79.26
279463,109,0.39,1,109,1272,4423,"High-rise",41030645,20304191,146.8,72.7,79.26
66235,109,1.65,1.1,116,1283,5385,"Mid-rise",9960291,3616044,150.4,54.6,469.3
91508,110,1.2,1,111,4125,429,"High-rise",11641677,4331004,127.2,47.3,469.3
75350,111,1.47,1,111,1903,4767,"High-rise",9269309,4628138,123,61.4,469.3
80000,111,1.39,1,111,1724,5121,"High-rise",11602088,5310810,145,66.4,469.3
110075,112,1.02,1,112,3222,1001,"High-rise",16500685,5954613,149.9,54.1,469.3
74413,115,1.55,1,117,3209,2241,"High-rise",13906802,5902168,186.9,79.3,469.3
57606,115,2,1.1,121,1272,4423,"Mid-rise",6035295,4362822,104.8,75.7,79.26
95381,116,1.22,1,116,4586,999,"Mid-rise",11241650,3580143,117.9,37.5,469.3
85503,119,1.39,1.1,125,1503,3438,"Low-rise",9710143,3092402,113.6,36.2,469.3
188598,119,0.63,2.1,250,1272,4423,"High-rise",36692127,17510092,194.6,92.8,79.26
84712,120,1.42,1,120,4602,1061,"Low-rise",15745469,5916375,185.9,69.8,469.3
134640,120,0.89,1,120,1535,4200,"Low-rise",10533823,4948364,78.2,36.8,469.3
90000,120,1.33,1.2,148,1034,6165,"High-rise",22640031,11804070,251.6,131.2,469.3
115861,122,1.05,1.525,186,1272,4423,"Mid-rise",13244569,9536855,114.3,82.3,79.26
146638,123,0.84,1.8,216,1272,4423,"High-rise",12512380,3984834,85.3,27.2,79.26
145359,123,0.85,1.5,186,1272,4423,"Mid-rise",15874278,10221307,109.2,70.3,79.26
141266,125,0.88,1.9,235,1272,4423,"High-rise",16956615,11190323,120,79.2,79.26
172760,126,0.73,1,126,1535,4200,"Mid-rise",10929225,5728061,63.3,33.2,79.26
111290,126,1.13,1.5,189,1272,4423,"Mid-rise",17368173,11092862,156.1,99.7,79.26
132250,126,0.95,1.5,189,1272,4423,"Mid-rise",17822391,11753985,134.8,88.9,79.26
155646,128,0.82,1.3,172,1272,4423,"High-rise",9643392,7599704,62,48.8,79.26
