"SQFT","NFLOOR","NELVTR","NESLTR","COURT","MONUSE","OPNWE","WKHRS","NWKER","COOK","MANU","HEATP","COOLP","SNACK","FASTFD","CAF","FDPREP","KITCHN","BREAKRM","OTFDRM","LABEQP","MCHEQP","POOL","HTPOOL","RFGWIN","RFGOPN","RFGCLN","RFGVNN","RFGICN","PCTERMN","LAPTPN","PRNTRN","SERVERN","TVVIDEON","RGSTRN","COPIERN","HDD65","CDD65","PBAPLUS","PBA","FINALWT","MFBTU","ELBTU","NGBTU","FKBTU","DHBTU","ONEACT","ACT1","ACT2","ACT3","ACT1PCT","ACT2PCT","ACT3PCT","PRAMTC","PRUNIT","CWUSED","WOUSED","COUSED","SOUSED","PRUSED","RFGSTP","RFGRSN","RFGCOMPN","RFGWIN.1","RFGOPN.1","RFGCLN.1","RFGVNN.1","LODGRM","OCCUPYP","LODOCCP","ELBTU0","NGBTU0","FKBTU0","DHBTU0","SOURCE_ENERGY","SOURCE_EUI","SITE_EUI","NGBTU_PERCENT","SUMBTU"
106000,2,NA,NA,NA,12,1,168,9,2,2,50,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,3,2,0,0,NA,0,100,NA,NA,2390,1735,38,18,239.38538189,1761287,1385214,376073,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,NA,NA,NA,NA,NA,3,100,NA,50,3878599.2,394876.65,NA,NA,4273475.85,40.32,16.62,8.8,1761287
49500,3,1,NA,NA,12,1,168,10,2,2,98,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,3,2,3,38,4,6,114,2,1,2067,2284,38,18,308.205725,2692249,1720549,971700,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,5,80,NA,NA,NA,3,80,NA,65,4817537.2,1020285,NA,NA,5837822.2,117.94,54.39,16.64,2692249
7900,2,NA,NA,NA,12,1,168,2,1,2,100,100,2,2,2,2,1,2,2,NA,NA,2,NA,NA,NA,NA,NA,NA,0,0,NA,0,12,NA,NA,2352,780,39,18,1878.6010721,359596,353241,6355,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,NA,12,NA,NA,NA,NA,12,NA,60,989074.8,6672.75,NA,NA,995747.55,126.04,45.52,0.64,359596
46000,3,1,NA,NA,12,1,168,7,1,2,100,90,2,2,2,2,1,2,2,NA,NA,2,NA,NA,NA,NA,1,NA,3,38,2,0,84,2,1,921,3766,38,18,259.35186162,3798920,2972667,826253,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,84,NA,NA,NA,NA,1,80,NA,71,8323467.6,867565.65,NA,NA,9191033.25,199.81,82.59,8.99,3798920
460000,994,10,NA,NA,12,1,168,150,1,2,100,100,2,1,1,1,2,1,2,NA,NA,2,NA,11,NA,2,NA,23,30,6,30,2,15,10,10,1899,3504,38,18,90.622000825,53666425,33365051,20118393,182981,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,NA,NA,11,NA,2,NA,700,NA,75,93422142.8,21124312.65,184810.81,NA,114731266.26,249.42,116.67,17.54,53666425
11250,1,NA,NA,NA,12,1,168,8,1,2,100,100,2,2,2,2,1,2,2,NA,NA,2,NA,NA,NA,NA,1,NA,0,0,NA,0,13,1,1,3606,1555,39,18,2140.9064605,512886,465018,47868,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,12,NA,NA,NA,NA,1,12,NA,75,1302050.4,50261.4,NA,NA,1352311.8,120.21,45.59,3.54,512886
365000,995,7,NA,NA,12,1,168,75,1,2,100,100,2,2,1,1,1,1,2,NA,NA,2,NA,7,NA,26,27,30,43,12,15,8,995,8,2,1712,2972,38,18,17.191258213,29157928,21730151,7379385,48392,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,NA,500,7,NA,26,27,500,NA,68,60844422.8,7748354.25,48875.92,NA,68641652.97,188.06,79.88,10.75,29157928
41000,3,1,NA,NA,12,1,168,13,2,2,100,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,3,1,4,0,1,0,NA,NA,1,7373,816,38,18,308.205725,3309966,2524713,785253,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,1,40,NA,NA,2,3,100,NA,50,7069196.4,824515.65,NA,NA,7893712.05,192.53,80.73,9.95,3309966
500000,994,10,6,NA,12,1,168,165,1,2,100,100,2,1,1,1,1,1,2,NA,NA,2,NA,12,3,10,NA,21,53,25,18,10,995,6,9,1911,2443,38,18,7.5774326833,49673534,28326496,21333428,13610,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,NA,450,12,3,10,NA,450,NA,80,79314188.8,22400099.4,13746.1,NA,101728034.3,203.46,99.35,20.97,49673534
62000,5,2,NA,NA,12,1,168,15,2,2,10,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,5,1,9,0,4,0,106,4,1,160,4296,38,18,259.35186162,4480322,3078532,1401790,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,NA,100,NA,NA,2,5,100,NA,90,8619889.6,1471879.5,NA,NA,10091769.1,162.77,72.26,13.89,4480322
