"GFA","Occupancy","Age","NumBldgs","NumFloors","UnitsTotal","UnitsRes","ENERGYSTARScore","SourceEUI","SiteEUI","SiteEnergy","SourceEnergy"
95000,100,11,1,10,47,43,10,164,62.2,5909000,15580000
69851,100,9,1,14,40,38,38,153.5,64.3,4491419.3,10722128.5
123900,100,11,1,13,64,64,79,92.5,36.5,4522350,11460750
270238,100,16,1,15,259,254,2,217.2,131,35401178,58695693.6
58269,100,108,1,7,23,21,68,86.1,54.9,3198968.1,5016960.9
121810,100,114,1,11,68,67,19,154.6,72.8,8867768,18831826
57926,100,79,1,6,62,58,NA,107.8,68.2,3950553.2,6244422.8
57605,100,79,1,6,61,60,90,90,59.6,3433258,5184450
92813,100,11,1,13,53,52,30,128.1,66.6,6181345.8,11889345.3
51048,100,106,1,13,23,22,13,165,84.5,4313556,8422920
67132,100,106,1,12,52,51,11,172.3,69,4632108,11566843.6
56378,100,5,1,14,50,50,98,75.7,41.7,2350962.6,4267814.6
127000,100,107,1,12,107,107,71,113.9,64.9,8242300,14465300
181300,100,44,1,6,121,120,63,108.3,47.1,8539230,19634790
71930,100,9,1,17,33,33,84,91.3,47.4,3409482,6567209
129326,100,9,1,13,100,99,20,146.5,61.1,7901818.6,18946259
43238,100,5,1,16,30,29,56,125.4,63.7,2754260.6,5422045.2
158605,100,39,1,12,210,210,NA,144.8,83.5,13243517.5,22966004
19835,100,106,1,12,21,8,92,89.9,52.1,1033403.5,1783166.5
63834,100,106,1,12,34,33,2,195.9,95.8,6115297.2,12505080.6
335836,100,9,1,40,203,202,21,150.1,64.1,21527087.6,50408983.6
263760,100,16,2,33,228,227,20,149.6,85.8,22630608,39458496
42422,100,106,1,12,18,13,NA,77.2,53.1,2252608.2,3274978.4
43500,100,95,1,9,27,25,93,75.3,30.9,1344150,3275550
92970,90,105,1,12,23,0,43,137.2,67.9,6312663,12755484
45455,100,32,1,11,15,13,NA,108.6,60.9,2768209.5,4936413
51627,100,47,1,12,20,18,NA,92.7,56.6,2922088.2,4785822.9
70077,100,106,1,12,25,24,95,72.3,47.7,3342672.9,5066567.1
115925,90,105,1,12,28,0,23,158.3,102.1,11835942.5,18350927.5
102000,100,92,1,21,94,91,23,157.5,100.3,10230600,16065000
92783,100,88,1,19,50,45,NA,97.4,51.7,4796881.1,9037064.2
151525,90,105,1,12,7,0,NA,121.2,78.2,11849255,18364830
484640,100,11,1,59,461,458,NA,124.3,66.8,32373952,60240752
401085,100,9,1,53,338,337,14,154.1,67.3,26993020.5,61807198.5
52289,100,94,1,12,39,0,54,116,56.8,2970015.2,6065524
68000,50,12,1,44,92,89,11,221.9,103.1,7010800,15089200
271270,100,52,2,20,245,239,NA,129,84.9,23030823,34993830
294839,100,53,2,21,439,430,1,209.6,140.2,41336427.8,61798254.4
160000,100,55,1,18,230,223,19,181.7,120.7,19312000,29072000
60151,100,109,1,12,22,21,99,49.5,20.2,1215050.2,2977474.5
132662,100,28,1,22,137,134,5,141.1,77.8,10321103.6,18718608.2
69630,100,9,1,10,47,47,34,144,73.6,5124768,10026720
80360,100,44,1,6,111,108,NA,132.4,74.8,6010928,10639664
444643,100,55,2,14,483,481,76,108.8,68.5,30458045.5,48377158.4
138635,100,62,1,15,121,119,100,43.7,13.9,1927026.5,6058349.5
74500,100,31,1,21,51,50,NA,137.8,77.4,5766300,10266100
175000,100,5,1,25,56,55,51,132.3,59.9,10482500,23152500
62192,100,106,1,12,95,95,48,143.2,93.6,5821171.2,8905894.4
51269,100,102,1,11,11,6,NA,114.4,54.4,2789033.6,5865173.6
21557,100,67,1,15,33,11,NA,220.1,108.3,2334623.1,4744695.7
65959,100,54,1,10,22,17,NA,154.6,77.4,5105226.6,10197261.4
80730,100,109,1,12,23,21,30,153.2,68.5,5530005,12367836
55025,100,116,1,12,27,21,4,155.7,93.7,5155842.5,8567392.5
58594,100,111,1,14,58,57,7,172,77.7,4552753.8,10078168
83500,100,111,1,7,70,67,20,183,64.5,5385750,15280500
115127,100,11,1,17,58,56,NA,168.7,86.1,9912434.7,19421924.9
89288,100,90,2,16,14,14,NA,56.5,18.7,1669685.6,5044772
73500,100,102,1,6,23,0,27,115.8,60.6,4454100,8511300
151236,100,9,1,15,118,116,74,98.1,43.2,6533395.2,14836251.6
52829,100,108,1,12,16,15,NA,101.9,59.7,3153891.3,5383275.1
68316,100,14,1,11,12,11,NA,85.9,45.4,3101546.4,5868344.4
459402,100,17,1,20,444,431,3,222.1,88.2,40519256.4,102033184.2
76805,100,112,1,10,26,24,97,54.9,21.7,1666668.5,4216594.5
269610,100,17,1,29,306,301,36,159.8,82.9,22350669,43083678
345972,100,102,1,24,123,122,49,114.6,36.5,12627978,39648391.2
382790,100,10,1,38,410,407,7,207.5,100.6,38508674,79428925
61150,100,108,1,12,13,12,NA,188.2,107.1,6549165,11508430
298829,100,14,1,36,273,266,29,143,78.4,23428193.6,42732547
64846,100,89,1,16,24,22,71,100,73.7,4779150.2,6484600
63684,100,93,2,14,27,24,NA,98.1,65.8,4190407.2,6247400.4
41804,100,90,1,15,23,17,NA,136.5,83.6,3494814.4,5706246
242586,100,13,1,41,283,283,81,112.4,55.3,13415005.8,27266666.4
795999,100,104,1,26,697,690,NA,95.1,61.1,48635538.9,75699504.9
148598,100,14,1,34,173,170,66,122.9,62,9213076,18262694.2
115166,100,104,1,10,129,123,13,206.4,104.1,11988780.6,23770262.4
282000,100,31,1,24,339,320,35,190.3,122.6,34573200,53664600
408558,100,7,1,58,168,163,17,192.7,94.7,38690442.6,78729126.6
59050,100,107,1,12,24,22,99,84.4,73,4310650,4983820
79056,40,92,1,16,23,0,1,206.7,77.7,6142651.2,16340875.2
80683,100,110,1,12,64,62,NA,116.9,77.3,6236795.9,9431842.7
408591,100,52,1,21,503,495,NA,192.9,121.7,49725524.7,78817203.9
