"GFA","Occupancy","Age","NumBldgs","NumFloors","UnitsTotal","UnitsRes","ENERGYSTARScore","SourceEUI","SiteEUI","SiteEnergy","SourceEnergy"
123885,100,44,1,5,2,0,95,102.1,45,5574825,12648658.5
4866,100,90,1,18,92,92,NA,195.2,133.4,649124.4,949843.2
1673,100,90,1,16,129,128,NA,84.1,52.7,88167.1,140699.3
3000,100,12,1,20,66,64,NA,185.3,93.7,281100,555900
2657,100,89,1,16,107,106,NA,115.5,78.9,209637.3,306883.5
87655,100,46,1,10,1,0,100,46.8,31.3,2743601.5,4102254
30644,100,97,1,2,2,0,79,197.4,101.4,3107301.6,6049125.6
80000,100,77,1,6,7,0,NA,36.4,26.1,2088000,2912000
148244,90,14,2,10,11,0,49,247.9,84,12452496,36749687.6
155757,100,104,1,12,52,0,85,168.3,73.3,11416988.1,26213903.1
166200,100,45,1,6,13,0,40,228.2,117.5,19528500,37926840
60900,100,114,1,7,3,0,94,107.7,57,3471300,6558930
8736,100,12,1,8,122,116,9,224.9,129.7,1133059.2,1964726.4
22184,65,96,1,6,38,32,NA,71.6,51,1131384,1588374.4
139392,100,13,2,0,2,0,50,215.8,109.2,15221606.4,30080793.6
7938,100,61,7,21,997,985,55,139.9,87.4,693781.2,1110526.2
228106,100,93,1,8,11,0,100,43,39.7,9055808.2,9808558
588357,100,58,1,19,82,0,89,147.5,65,38243205,86782657.5
20000,100,93,1,6,8,2,NA,97.9,50.6,1012000,1958000
121752,100,68,1,4,2,0,100,50.4,16,1948032,6136300.8
6975,100,42,6,35,1193,1193,78,113.3,83,578925,790267.5
5600,100,45,2,14,198,196,5,205.7,140.9,789040,1151920
5216,100,29,1,12,98,98,70,111.8,69,359904,583148.8
22500,100,80,1,6,1,0,NA,152.8,49.8,1120500,3438000
5000,100,97,1,6,37,36,75,80.5,61.6,308000,402500
1832,100,44,1,6,41,41,NA,127.7,93.6,171475.2,233946.4
9890,100,97,1,6,42,40,32,159.7,99.4,983066,1579433
47004,100,87,1,6,49,49,56,149.4,111.5,5240946,7022397.6
2902,100,97,1,6,69,68,NA,119.9,85.5,248121,347949.8
13700,100,97,1,6,96,85,NA,156.8,105.9,1450830,2148160
1355,100,112,1,6,56,55,NA,87.8,67.4,91327,118969
1300,100,81,1,6,50,47,NA,122.2,94.8,123240,158860
1600,100,36,1,15,129,126,NA,132.5,87.3,139680,212000
97026,100,57,1,8,1,0,NA,156,56.2,5452861.2,15136056
3140,100,92,1,5,65,65,NA,104,80,251200,326560
3140,100,92,1,5,67,66,NA,104,80,251200,326560
1500,100,80,1,6,61,61,NA,93.6,66.3,99450,140400
69000,100,48,1,5,3,0,100,48.6,40.2,2773800,3353400
177094,100,86,1,3,19,0,65,212.4,82.7,14645673.8,37614765.6
42500,100,97,1,3,4,0,75,138.1,65.8,2796500,5869250
80400,100,86,1,5,15,0,89,121.3,61.6,4952640,9752520
17679,30,89,1,8,45,0,NA,53.4,30.2,533905.8,944058.6
58150,100,87,1,6,52,0,NA,98.3,44.5,2587675,5716145
62125,100,86,1,3,3,0,98,84.4,29,1801625,5243350
75592,100,109,1,6,33,0,9,257,113.4,8572132.8,19427144
68886,100,86,1,10,3,0,56,230.5,96.9,6675053.4,15878223
3500,100,66,1,1,2,0,NA,43,23.2,81200,150500
77095,100,11,1,2,5,0,NA,360.9,191.8,14786821,27823585.5
52971,100,26,1,5,6,0,81,144.8,57.7,3056426.7,7670200.8
167120,100,87,1,10,14,0,NA,91.5,30.6,5113872,15291480
8056,100,69,1,11,115,108,NA,94.9,64.3,518000.8,764514.4
119300,100,95,2,3,1,0,100,32.1,10.7,1276510,3829530
32159,100,57,1,2,2,0,NA,155.3,107.2,3447444.8,4994292.7
17000,95,87,1,2,2,0,78,114.4,53,901000,1944800
1600,100,88,1,6,45,42,NA,183.8,155.3,248480,294080
42500,100,86,1,3,3,0,99,64.2,26.1,1109250,2728500
108823,100,63,1,3,2,0,NA,40.4,20,2176460,4396449.2
1500,100,88,2,5,138,137,NA,59.5,44.7,67050,89250
12000,100,46,1,2,1,0,NA,73.7,43.9,526800,884400
12800,100,90,1,1,2,0,NA,69.8,22.2,284160,893440
5800,100,57,2,1,2,0,1,374.3,134,777200,2170940
67500,100,92,1,3,3,1,82,147.8,81.7,5514750,9976500
