PBAPLUS,MFBTU,FINALWT,ONEACT,ACT1,ACT2,ACT3,ACT1PCT,ACT2PCT,ACT3PCT,PRAMTC,PRUNIT,CWUSED,WOUSED,COUSED,SOUSED,SQFT,NFLOOR,NELVTR,NESLTR,EDSEAT,COURT,MONUSE,OPNWE,WKHRS,NWKER,COOK,HEATP,COOLP,SNACK,FASTFD,CAF,FDPREP,KITCHN,BREAKRM,OTFDRM,LABEQP,POOL,HTPOOL,RFGRES,RFGCOMPN,RFGWIN,RFGOPN,RFGCLN,RFGVNN,RFGICN,PCTERMN,LAPTPN,PRNTRN,SERVERN,TRNGRM,STDNRM,WBOARDS,TVVIDEON,RGSTRN,COPIERN,HDD65,CDD65,EUI
29,7071980,15.945623796,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,225000,2,1,NA,1250,NA,12,1,65,60,1,95,95,2,2,1,2,2,2,2,1,2,NA,2,NA,2,NA,NA,6,NA,600,50,20,1,2,1,1,2,2,5,2850,2096,31.4
28,2223864,336.40197304,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,80000,3,NA,NA,250,NA,12,1,105,47,1,33,66,1,2,2,1,2,1,2,2,2,NA,2,NA,NA,NA,5,NA,NA,50,8,50,60,1,1,1,4,NA,2,1432,770,27.8
28,3996508,138.56608864,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,116000,1,NA,NA,900,NA,12,2,40,92,1,100,100,2,2,1,1,2,1,2,2,2,NA,1,30,2,NA,NA,1,NA,150,120,50,2,1,2,1,50,4,3,2810,2377,34.5
28,2555195,209.09996186,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,67000,1,NA,NA,800,NA,12,2,50,65,1,100,100,2,2,1,1,2,2,2,2,2,NA,1,14,2,2,3,4,2,180,12,6,3,1,1,1,60,3,2,1999,2802,38.1
29,2126552,84.055763395,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,33500,1,NA,NA,350,NA,10,2,50,20,2,100,100,NA,NA,NA,NA,NA,NA,NA,1,2,NA,1,NA,NA,NA,NA,4,NA,10,12,1,1,2,2,2,NA,NA,NA,2773,2016,63.5
28,6326359,212.42624205,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,77000,6,NA,NA,800,NA,10,1,59,80,1,100,100,2,2,1,1,2,2,2,2,2,NA,1,2,NA,NA,NA,NA,NA,80,60,30,0,2,1,2,NA,NA,3,3713,1278,82.2
29,5517834,139.16995492,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,67000,1,NA,NA,350,NA,12,1,96,42,1,100,82,1,2,1,2,1,1,2,2,2,NA,2,NA,3,NA,NA,NA,1,100,200,6,6,2,1,2,22,NA,1,5564,1049,82.4
29,1898594,259.35186162,1,NA,NA,NA,NA,NA,NA,1,1,2,2,2,2,38000,2,NA,NA,600,NA,12,1,85,25,2,NA,100,NA,NA,NA,NA,NA,NA,NA,1,2,NA,1,NA,NA,NA,NA,1,NA,40,25,5,0,1,2,2,2,NA,1,93,4295,50
28,4041371,392.2691563,1,NA,NA,NA,NA,NA,NA,3,1,2,2,2,2,95000,2,1,NA,500,NA,11,2,50,64,1,100,100,2,2,1,2,2,2,2,2,2,NA,1,20,2,NA,NA,NA,NA,255,35,13,3,2,1,1,41,2,3,422,3739,42.5
29,9949413,84.58932707,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,215000,1,NA,NA,1500,NA,12,1,60,60,1,90,95,2,2,1,1,2,2,2,2,2,NA,1,NA,2,NA,NA,6,3,100,40,50,4,1,1,1,60,2,5,5692,406,46.3
