"NWKER_SQFT","HDD65_HEATP","CDD65_COOLP","IsCooking","IsOpenWeekends","IsHighSchool","SOURCE_EUI","SOURCE_ENERGY","FINALWT"
0.588,4396.8,1056,"Yes","No","No",77.76,5287756.25,403.262
0.513,1329,1476,"No","No","No",52.79,205898,503.863
0.593,384,3272.25,"No","Yes","Yes",112.46,6634927.6,311.134
0.492,2310,1743,"Yes","No","No",111.79,14309474.9,356.198
0.688,2885,1715,"Yes","Yes","Yes",148.19,38530350.16,84.056
0.817,1765,2765,"Yes","No","No",83.07,8639297.8,311.134
0.584,7855,778,"Yes","Yes","Yes",118.89,45773227.65,84.056
0.831,6165,396,"Yes","No","No",146.69,8654428.65,209.1
0.763,6292,373,"Yes","Yes","No",132.33,7807684.85,15.946
1.6,4680,1246,"No","No","No",129.04,3871190.05,271.015
0.535,2565,1602,"Yes","No","Yes",93.92,25828590.9,84.056
0.667,4985,877.5,"No","Yes","Yes",168.52,252780.15,2140.906
0.909,4621,585.6,"Yes","No","No",76.52,2525043.5,632.517
0.392,7712,80.25,"Yes","Yes","No",100.87,7969043.95,179.596
0.19,5444,734.4,"Yes","No","No",98.89,15624334.95,179.596
1.216,1154,4126,"No","No","Yes",231.33,5898888.8,311.134
0.532,5602,54.75,"Yes","Yes","No",117.35,18072012.35,84.056
0.687,2462,2008,"Yes","No","No",65.53,11927350.4,138.566
0.964,6400,154.05,"Yes","No","No",210.91,11599800.8,207.132
1.129,4196,171,"Yes","No","No",78.12,4843259.98,313.286
0.521,3975,1470,"Yes","No","No",88.09,4228480.55,271.015
0.353,5157,893,"Yes","Yes","No",132.63,33821593.78,84.056
0.522,5145,1132,"Yes","Yes","No",97.39,22400005.25,25.323
0.678,115,4363,"No","No","No",96.97,2860625.6,90.622
0.631,4352,1421,"Yes","No","Yes",184.24,58958072.98,90.517
0.513,2237,2550,"Yes","No","No",75.79,12126696.75,73.063
0.942,2617.6,155.8,"Yes","Yes","No",109.62,15127724.33,84.056
0.547,1829,3314,"Yes","No","No",145.34,18603652.2,171.867
0.75,6104,118.95,"Yes","No","No",75.13,4808272.7,271.015
0.502,4919,592,"Yes","Yes","Yes",91.78,19732407.8,499.12
0.25,2746.94,2400.02,"Yes","Yes","No",63.72,11469960.25,171.867
0.675,5307,14.42,"Yes","Yes","No",79.33,6346248.3,647.987
0.625,3072,2263,"Yes","No","No",101.98,7342532.4,160.426
1.011,2740,2220,"Yes","Yes","No",150.76,13870267.95,366.156
1.258,685.8,3441.6,"Yes","No","No",154.71,3442252.8,259.352
0.119,407,1961.5,"No","No","No",108.95,3649914.8,311.134
1.123,5252,1307,"No","Yes","No",86.65,5632166.05,125.65
0.743,5066,1077.3,"Yes","Yes","No",141.93,21004978.17,84.056
0.595,2960,1389.96,"Yes","No","Yes",97.51,19989054.4,366.156
0.588,3079,1324,"Yes","No","No",86.07,8778639.1,242.087
0.541,1397,808,"No","No","No",156.2,2889713.05,503.863
0.769,644,4883,"No","No","No",126.85,1649026.4,624.954
0.833,1739,2514,"No","No","No",162.74,976441.2,484.852
1.02,4514,216.3,"Yes","Yes","No",105.59,10348107.7,84.589
0.488,1246,2974,"Yes","No","No",144.65,5930621.55,503.863
1.236,3655,291.45,"Yes","No","No",79.79,3550583.4,242.087
0.75,162,4619,"No","No","No",135.33,1623941.2,2293.59
1.176,1022,1436,"No","No","No",96.44,4098842.3,212.426
0.704,2882,2256,"Yes","Yes","No",205,29110675.32,84.056
0.667,7063,388,"Yes","No","Yes",71.39,10708127.15,125.65
0.685,4796.55,176.4,"Yes","No","No",94.69,6912408.65,239.385
0.909,1181,1091,"No","Yes","Yes",35.35,233326.8,751.727
0.597,5436,944,"Yes","Yes","No",153.52,10286094.35,207.132
0.35,3106.8,1911.6,"Yes","No","No",158.29,15829179.1,356.198
0.5,3195,2310,"Yes","No","No",73.38,14675139.15,171.867
0.522,5457,733,"Yes","No","Yes",124.17,2855993.35,207.132
0.623,7120,136.5,"Yes","No","No",81.81,11290316.46,160.426
0.25,2202,2151,"Yes","No","Yes",112.83,22566439.7,239.385
0.675,3654,1278,"Yes","Yes","No",135.42,17062507.35,179.596
0.8,4216,113.5,"Yes","No","No",111,8880144.58,139.17
0.613,4440,1596.6,"Yes","Yes","No",140.06,5252207.8,360.218
