"SQFT","WKHRS","NWKER_SQFT","PCTERMN_SQFT","CDD65_COOLP","IsBank","SOURCE_EUI","SOURCE_ENERGY","FINALWT"
270000,168,1.481,4.259,7.506,"No",121.33,32760390.31,23.718
80000,66,2.125,2.5,6.08,"No",148.07,11845358.35,19.69
176000,50,1.42,2.33,6.886,"No",131.13,23078640.55,53.724
9000,40,0.889,1.556,4.864,"No",163.88,1474914.7,308.206
3e+05,72,2.833,2.933,8.323,"No",168.42,50525748.25,48.841
25500,50,0.784,2.588,4.48,"No",53.35,1360520,1130.475
325000,60,2.154,3.591,7.091,"No",250.82,81517287.6,25.323
156000,65,2.885,4.167,7.705,"No",167.95,26199900.27,64.869
16500,60,1.394,1.879,6.828,"Yes",148.05,2442904.1,1667.755
69000,45,0.942,1.159,4.246,"No",102.29,7057968.05,48.841
60000,50,4.667,5.05,7.125,"No",141.69,8501660.5,222.038
1900,40,1.579,1.053,7.928,"No",63.96,121522.8,1879.456
124000,65,2.823,3.032,6.198,"No",168.95,20950197.67,57.663
1350,60,2.963,2.963,6.827,"No",88.61,119621.6,1559.829
7900,60,1.139,2.278,6.682,"No",228.08,1801856,1849.185
500001,168,5,5.99,6.799,"No",372.62,186310455.18,25.323
3500,60,2.857,5.429,8.146,"Yes",300.77,1052682.4,1451.617
22000,40,3.409,3,6.131,"No",136.7,3007389.35,1145.08
265000,65,1.698,2.698,6.98,"No",124.67,33036874.33,25.323
75000,46,2,2.467,6.692,"Yes",250.79,18809152.07,233.303
1600,40,1.875,3.125,3.422,"No",87.95,140721,1522.982
9900,54,1.212,1.717,7.368,"No",69.7,690029.2,1117.742
3000,50,1.667,1.667,7.821,"No",79.19,237568.8,976.417
7800,50,1.795,2.308,5.604,"No",138.63,1081276,1791.31
33000,70,2.152,2.576,8.016,"No",133.93,4419601.2,1134.75
350000,65,1.429,1.186,7.514,"No",123.43,43201074,48.841
5400,48,0.741,2.407,7.362,"No",87.34,471616.25,1828.052
275000,60,2,1.764,5.368,"No",203.75,56031192.48,19.69
340000,60,3.5,5.556,7.403,"No",351.4,119476181.3,23.718
