"SOURCE_EUI","SOURCE_ENERGY","FINALWT","SQFT","NFLOOR","WKHRS","NWKER","COOLP","CDD65","HEATP","HDD65","IsCooking","IsOpenWeekends","IsHighSchool"
56.61,6339862.2,239.385,112000,4,40,65,12,694,95,5944,"Yes","No","No"
112.39,3203046,139.17,28500,3,40,25,1,1669,100,3943,"No","No","No"
73.6,8390539.85,139.17,114000,5,50,80,25,1064,100,4358,"Yes","No","No"
91.1,7834365.35,209.1,86000,1,50,83,100,2694,100,1918,"Yes","No","No"
88.7,7451119.2,259.352,84000,2,60,70,100,3886,100,675,"No","Yes","Yes"
112.13,19511382.56,84.056,174000,9,84,249,50,1048,100,4055,"Yes","No","Yes"
77.76,5287756.25,403.262,68000,4,50,40,100,1056,80,5496,"Yes","No","No"
52.79,205898,503.863,3900,1,50,2,100,1476,100,1329,"No","No","No"
112.46,6634927.6,311.134,59000,1,60,35,75,4363,75,512,"No","Yes","Yes"
111.79,14309474.9,356.198,128000,3,50,63,100,1743,100,2310,"Yes","No","No"
148.19,38530350.16,84.056,260000,2,84,179,100,1715,100,2885,"Yes","Yes","Yes"
83.07,8639297.8,311.134,104000,1,55,85,100,2765,100,1765,"Yes","No","No"
118.89,45773227.65,84.056,385000,4,83,225,100,778,100,7855,"Yes","Yes","Yes"
146.69,8654428.65,209.1,59000,1,45,49,100,396,100,6165,"Yes","No","No"
132.33,7807684.85,15.946,59000,1,90,45,100,373,100,6292,"Yes","Yes","No"
166.39,12146532.65,239.385,73000,2,60,98,100,764,100,6817,"Yes","Yes","No"
129.04,3871190.05,271.015,30000,1,50,48,100,1246,100,4680,"No","No","No"
93.92,25828590.9,84.056,275000,2,60,147,100,1602,100,2565,"Yes","No","Yes"
168.52,252780.15,2140.906,1500,1,45,1,50,1755,100,4985,"No","Yes","Yes"
76.52,2525043.5,632.517,33000,3,55,30,40,1464,100,4621,"Yes","No","No"
100.87,7969043.95,179.596,79000,1,50,31,15,535,100,7712,"Yes","Yes","No"
98.89,15624334.95,179.596,158000,2,50,30,80,918,100,5444,"Yes","No","No"
231.33,5898888.8,311.134,25500,1,40,31,100,4126,100,1154,"No","No","Yes"
117.35,18072012.35,84.056,154000,3,84,82,5,1095,100,5602,"Yes","Yes","No"
65.53,11927350.4,138.566,182000,2,40,125,100,2008,100,2462,"Yes","No","No"
210.91,11599800.8,207.132,55000,2,38,53,65,237,100,6400,"Yes","No","No"
78.12,4843259.98,313.286,62000,3,70,70,20,855,100,4196,"Yes","No","No"
88.09,4228480.55,271.015,48000,1,60,25,100,1470,100,3975,"Yes","No","No"
132.63,33821593.78,84.056,255000,3,75,90,100,893,100,5157,"Yes","Yes","No"
97.39,22400005.25,25.323,230000,2,64,120,100,1132,100,5145,"Yes","Yes","No"
96.97,2860625.6,90.622,29500,1,85,20,100,4363,100,115,"No","No","No"
184.24,58958072.98,90.517,320000,2,45,202,100,1421,100,4352,"Yes","No","Yes"
75.79,12126696.75,73.063,160000,1,50,82,100,2550,100,2237,"Yes","No","No"
109.62,15127724.33,84.056,138000,5,80,130,10,1558,80,3272,"Yes","Yes","No"
145.34,18603652.2,171.867,128000,2,50,70,100,3314,100,1829,"Yes","No","No"
75.13,4808272.7,271.015,64000,2,60,48,15,793,100,6104,"Yes","No","No"
91.78,19732407.8,499.12,215000,4,65,108,80,740,100,4919,"Yes","Yes","Yes"
63.72,11469960.25,171.867,180000,4,45,45,98,2449,98,2803,"Yes","Yes","No"
79.33,6346248.3,647.987,80000,2,72,54,2,721,100,5307,"Yes","Yes","No"
101.98,7342532.4,160.426,72000,1,55,45,100,2263,100,3072,"Yes","No","No"
150.76,13870267.95,366.156,92000,1,70,93,100,2220,100,2740,"Yes","Yes","No"
154.71,3442252.8,259.352,22250,4,50,28,90,3824,90,762,"Yes","No","No"
108.95,3649914.8,311.134,33500,1,50,4,50,3923,50,814,"No","No","No"
95.92,14963342.8,84.056,156000,2,90,110,10,891,100,4463,"Yes","Yes","Yes"
86.65,5632166.05,125.65,65000,2,60,73,100,1307,100,5252,"No","Yes","No"
141.93,21004978.17,84.056,148000,2,56,110,95,1134,100,5066,"Yes","Yes","No"
97.51,19989054.4,366.156,205000,1,50,122,99,1404,100,2960,"Yes","No","Yes"
86.07,8778639.1,242.087,102000,1,40,60,100,1324,100,3079,"Yes","No","No"
156.2,2889713.05,503.863,18500,1,40,10,100,808,100,1397,"No","No","No"
126.85,1649026.4,624.954,13000,2,45,10,100,4883,100,644,"No","No","No"
162.74,976441.2,484.852,6000,1,55,5,100,2514,100,1739,"No","No","No"
105.59,10348107.7,84.589,98000,1,80,100,30,721,100,4514,"Yes","Yes","No"
144.65,5930621.55,503.863,41000,1,45,20,100,2974,100,1246,"Yes","No","No"
79.79,3550583.4,242.087,44500,1,45,55,15,1943,100,3655,"Yes","No","No"
135.33,1623941.2,2293.59,12000,1,40,9,100,4619,100,162,"No","No","No"
96.44,4098842.3,212.426,42500,3,80,50,100,1436,100,1022,"No","No","No"
205,29110675.32,84.056,142000,2,60,100,100,2256,100,2882,"Yes","Yes","No"
71.39,10708127.15,125.65,150000,3,50,100,50,776,100,7063,"Yes","No","Yes"
94.69,6912408.65,239.385,73000,2,40,50,20,882,85,5643,"Yes","No","No"
35.35,233326.8,751.727,6600,1,96,6,100,1091,100,1181,"No","Yes","Yes"
153.52,10286094.35,207.132,67000,1,60,40,100,944,100,5436,"Yes","Yes","No"
158.29,15829179.1,356.198,1e+05,3,40,35,90,2124,90,3452,"Yes","No","No"
73.38,14675139.15,171.867,200001,4,40,100,100,2310,100,3195,"Yes","No","No"
124.17,2855993.35,207.132,23000,3,40,12,100,733,100,5457,"Yes","No","Yes"
81.81,11290316.46,160.426,138000,1,50,86,35,390,100,7120,"Yes","No","No"
112.83,22566439.7,239.385,2e+05,2,50,50,100,2151,100,2202,"Yes","No","Yes"
135.42,17062507.35,179.596,126000,1,100,85,90,1420,90,4060,"Yes","Yes","No"
111,8880144.58,139.17,80000,5,55,64,10,1135,100,4216,"Yes","No","No"
140.06,5252207.8,360.218,37500,2,50,23,90,1774,100,4440,"Yes","Yes","No"
126.81,17500299.61,242.087,138000,1,60,121,100,1572,100,3502,"Yes","No","No"
114.26,4399191.65,239.385,38500,1,90,65,100,839,85,6923,"No","Yes","No"
175.49,14389928,171.867,82000,1,70,79,100,4030,95,564,"Yes","Yes","No"
223.2,58031890,84.056,260000,3,60,132,100,2106,100,3584,"Yes","Yes","Yes"
114.1,6275302.6,207.132,55000,3,40,40,80,2114,100,3273,"No","No","No"
29.88,6424898.2,239.385,215000,1,50,100,80,1230,85,4946,"Yes","No","No"
137.1,8911559.3,139.17,65000,2,50,30,25,1023,100,5163,"Yes","No","No"
123.47,50005117.43,160.426,405000,3,104,150,90,1163,100,5828,"Yes","Yes","Yes"
112.05,6723147.2,207.132,60000,1,80,40,100,1145,100,5555,"Yes","No","No"
