"SQFT","WKHRS","NWKER","PCTERMN_TOT","IsBank","COOLP","CDD65","SOURCE_EUI","SOURCE_ENERGY","FINALWT"
26000,40,25,36,"No",80,716,98.49,2560756.8,308.206
91000,65,175,708,"No",100,1115,238.98,21747284.63,157.112
100001,100,75,72,"No",100,1586,187.13,18713086,1868.772
40000,50,65,110,"No",100,1424,206.56,8262422,226.828
104000,60,538,575,"No",100,653,327.99,34110786.15,53.724
7000,50,12,19,"No",66,1818,68.58,480043.55,499.12
1200,40,1,6,"No",100,2673,57.2,68642,1667.755
270000,168,400,1150,"No",100,1819,121.33,32760390.31,23.718
80000,66,170,200,"No",85,1278,148.07,11845358.35,19.69
176000,50,250,410,"No",100,978,131.13,23078640.55,53.724
9000,40,8,14,"No",70,1042,163.88,1474914.7,308.206
3e+05,72,850,880,"No",100,4117,168.42,50525748.25,48.841
25500,50,20,66,"No",60,1749,53.35,1360520,1130.475
325000,60,700,1167,"No",100,1201,250.82,81517287.6,25.323
156000,65,450,650,"No",100,2219,167.95,26199900.27,64.869
16500,60,23,31,"Yes",100,923,148.05,2442904.1,1667.755
69000,45,65,80,"No",55,2254,102.29,7057968.05,48.841
60000,50,280,303,"No",95,1808,141.69,8501660.5,222.038
1900,40,3,2,"No",100,2774,63.96,121522.8,1879.456
124000,65,350,376,"No",100,492,168.95,20950197.67,57.663
1350,60,4,4,"No",100,922,88.61,119621.6,1559.829
7900,60,9,18,"No",100,798,228.08,1801856,1849.185
500001,168,2500,2995,"No",98,1030,372.62,186310455.18,25.323
3500,60,10,19,"Yes",100,3451,300.77,1052682.4,1451.617
22000,40,75,66,"No",90,909,136.7,3007389.35,1145.08
265000,65,450,715,"No",100,1075,124.67,33036874.33,25.323
75000,46,150,185,"Yes",100,806,250.79,18809152.07,233.303
1600,40,3,5,"No",50,938,87.95,140721,1522.982
9900,54,12,17,"No",100,1585,69.7,690029.2,1117.742
3000,50,5,5,"No",95,3763,79.19,237568.8,976.417
7800,50,14,18,"No",75,1759,138.63,1081276,1791.31
33000,70,71,85,"No",100,3029,133.93,4419601.2,1134.75
350000,65,500,415,"No",91,3854,123.43,43201074,48.841
5400,48,4,13,"No",100,1575,87.34,471616.25,1828.052
275000,60,550,485,"No",75,1283,203.75,56031192.48,19.69
340000,60,1190,1889,"No",100,1641,351.4,119476181.3,23.718
2700,56,4,6,"No",100,1702,165.61,447137.6,1729.173
5200,53,6,5,"No",100,3662,122.43,636652.8,74.845
2900,46,3,10,"No",60,1367,96.32,279328,2249.135
240000,40,900,1005,"No",90,2672,291.05,69851450.67,23.718
