Data Year,ID,Property Name,Address,ZIP Code,Community Area,Primary Property Type,Gross Floor Area - Buildings (sq ft),Year Built,# of Buildings,ENERGY STAR Score,Electricity Use (kBtu),Natural Gas Use (kBtu),District Steam Use (kBtu),District Chilled Water Use (kBtu),All Other Fuel Use (kBtu),Site EUI (kBtu/sq ft),Source EUI (kBtu/sq ft),Weather Normalized Site EUI (kBtu/sq ft),Weather Normalized Source EUI (kBtu/sq ft),Total GHG Emissions (Metric Tons CO2e),GHG Intensity (kg CO2e/sq ft),Latitude,Longitude,Location
2016,157767,Roosevelt Hi-CPS,3436 W WILSON AVE,60625,ALBANY PARK,K-12 School,319900,1927,1,84,5999145.6,15961269.4,,,,68.6,111.3,74.3,117.9,1953.5,6.1,41.96501325,-87.71451268,"(41.96501325, -87.71451268)"
2016,157832,Community First Medical Center,5645 West Addison St,60634,PORTAGE PARK,Hospital (General Medical & Surgical),346894,1955,1,68,34317691.3,35949602.2,,,,202.6,419.4,205.3,417.6,8234.9,23.7,41.94536427,-87.76777267,"(41.94536427, -87.76777267)"
2016,157887,Beth Anne Residences,4952 W. Thomas,60651,AUSTIN,Multifamily Housing,120000,1927,1,4,4867555.8,8428125.4,,,,110.8,201.1,118.4,206.1,1344.9,11.2,41.90048782,-87.75011051,"(41.90048782, -87.75011051)"
2016,157919,North Park Village Apartments,"5801 N. Pulaski Rd., Bldg. H",60646,NORTH PARK,Residential Care Facility,275000,1913,1,,8468010.8,10699571.3,,,,69.7,137.5,69.7,137.5,2129.1,7.7,41.98580055,-87.72846172,"(41.98580055, -87.72846172)"
2016,157955,Hilton Chicago,720 S. Michigan Avenue,60605,LOOP,Hotel,2054590,1927,1,35,103818493.5,120647293.5,,,,109.3,220.3,113.5,224.8,25544.1,12.4,41.87250897,-87.6251104,"(41.87250897, -87.6251104)"
2016,157964,HAROLD WASHINGTON LIBRARY,400 S. State St.,60605,LOOP,Library,756640,1991,1,,64863143.6,,,,,85.7,269.2,85.7,269.2,11955.6,15.8,41.8763213,-87.62821533,"(41.8763213, -87.62821533)"
2016,157971,(IL558) - Michigan Avenue Lofts,910 S. Michigan Ave.,60605,LOOP,Multifamily Housing,602241,1911,1,66,12045073.1,23152715.1,,,,58.4,103.2,59.7,102.7,3449.9,5.7,41.87031383,-87.62481784,"(41.87031383, -87.62481784)"
2016,157975,Lake Meadows 9,501 E. 32nd Street,60616,DOUGLAS,Multifamily Housing,303979,1956,1,27,2560102.1,41565724.8,,,,145.2,170,161.2,186.9,2679.6,8.8,41.83569627,-87.61275453,"(41.83569627, -87.61275453)"
2016,157988,Union League Club Of Chicago,65 W. Jackson,60604,LOOP,Hotel,311794,1926,1,8,13093901.4,51810842.3,,11326104.1,,244.5,342.7,249.5,348.1,5762.3,18.5,41.87787288,-87.63001693,"(41.87787288, -87.63001693)"
2016,157993,The Fisher Building,343 S Dearborn St,60604,LOOP,Multifamily Housing,167940,1896,1,2,7850834.6,13885804.3,,,,129.4,233.6,136.9,236.5,2184.6,13,41.87698814,-87.62918889,"(41.87698814, -87.62918889)"
2016,158083,Renaissance Ohare,8500 west bryn mawr ave,60631,OHARE,Hotel,314254,2003,1,47,15958869.1,19552719.7,,,,113,224.8,116.2,225.5,3980.1,12.7,41.98244678,-87.84101094,"(41.98244678, -87.84101094)"
2016,158088,Evangelical Lutheran Church in America,8765 W. Higgins Road,60631,OHARE,Office,252250,1969,1,95,10978901.6,,,,,43.5,136.7,45.3,142.4,2023.6,8,41.98712961,-87.84592168,"(41.98712961, -87.84592168)"
2016,158095,O'Hare Plaza II,8755 W. Higgins Road,60631,OHARE,Office,256010,1969,1,68,13719757.8,,,29246991.2,,167.8,282.5,169.2,286.9,4070.2,15.9,41.98655423,-87.84550445,"(41.98655423, -87.84550445)"
2016,158099,61480 - Galewood 14,5530 W Homer St,60639-449,AUSTIN,Movie Theater,57976,2007,1,,5924876.6,2541600,,,,146,366.9,150.5,366.5,1227.1,21.2,41.91589039,-87.76459083,"(41.91589039, -87.76459083)"
2016,158121,Chase Tower Chicago,10 S. Dearborn,60603,LOOP,Financial Office,2429909,1967,1,,165924707,177049738,,505748.2,,141.4,291.1,142.5,294.8,40014,16.5,41.88163958,-87.63010692,"(41.88163958, -87.63010692)"
2016,158133,353 North Clark,353 North Clark Street,60654,NEAR NORTH SIDE,Office,1364257,2009,1,85,89058454.5,8755804.7,,,67896,71.7,211.8,73,215.6,16885.5,12.4,41.88886543,-87.6302742,"(41.88886543, -87.6302742)"
2016,158134,The Goodman Theatre,170 N. Dearborn Ave.,60601,LOOP,Performing Arts,171000,2000,1,,11142844.8,27203.5,,,,65.3,204.8,66.1,207.2,2055.3,12,41.88520426,-87.62986239,"(41.88520426, -87.62986239)"
2016,158142,Lake Shore Plaza,445 East Ohio Street,60611,NEAR NORTH SIDE,Multifamily Housing,470318,1985,1,7,22476270.2,19265195.3,,,,88.8,193.1,93.2,199.5,5166.1,11,41.89224062,-87.61627223,"(41.89224062, -87.61627223)"
2016,158184,33 West Monroe,33 W. Monroe Street,60603,LOOP,Office,1085869,1980,1,87,49200050.5,,,19567294.4,,63.3,160.3,64,166.4,10099.8,9.3,41.88038628,-87.62878581,"(41.88038628, -87.62878581)"
2016,158215,Wabash Building,425 S. Wabash Ave,60605,LOOP,Residence Hall/Dormitory,414585,2011,1,,17110685.3,21627439.4,,,,93.4,184.4,97,186.4,4302.6,10.4,41.87635342,-87.62560189,"(41.87635342, -87.62560189)"
