"SQFT","WKHRS","NWKER_SQFT","PCTERMN_SQFT","CDD65_COOLP","IsBank","SOURCE_EUI","SOURCE_ENERGY","FINALWT"
15750,40,0.317,0.889,5.13,"No",87.19,1373320.55,1130.475
4000,38,0.75,2,7.483,"Yes",175.01,700029.4,1807.463
5900,60,0.847,1.525,4.278,"No",158.67,936152.7,1791.31
5300,54,3.962,5.472,4.576,"Yes",317.48,1682630.95,964.604
18250,40,1.534,1.644,7.375,"No",114.17,2083611.6,1155.428
4550,60,0.659,1.319,2.162,"No",137.56,625917.6,1559.829
11000,45,4.545,5.818,5.796,"No",190.87,2099529.25,1130.475
14000,50,1.429,1.5,2.965,"No",76.71,1073996,1807.463
6300,168,2.063,2.222,7.638,"No",372.15,2344529.6,48.841
4600,45,2.609,2.826,8.241,"No",179.56,825966.4,1162.263
3450,40,2.319,4.638,7.578,"No",104.46,360396.05,1807.463
6700,60,4.03,5.373,6.48,"No",145.93,977723.6,1828.052
1300,48,2.308,1.538,8.533,"Yes",263.41,342428.8,1197.386
5200,40,3.269,3.846,7.19,"No",421.61,2192390.9,1522.982
95000,50,0.526,0.737,7.05,"No",56.95,5410300,79.35
4200,40,0.714,2.619,6.007,"No",137.09,575796.55,23.718
24000,58,0.583,1.25,8.226,"Yes",124.77,2994590.9,281.109
1500,60,2.667,3.333,3.478,"No",112.26,168392.7,1155.428
2750,41,3.636,6.182,7.267,"Yes",328.31,902854.4,1522.982
2000,61,3,3.5,7.962,"No",455.16,910324.8,23.718
33500,80,5.97,5.224,7.678,"No",114.02,3819824.4,583.627
44000,50,3.523,1.455,5.282,"No",171.59,7550137,48.841
20000,60,3.25,3.35,7.478,"Yes",254.95,5098917.6,281.109
1200,50,3.333,2.5,6.377,"No",156.28,187537.14,1451.617
4000,35,0.5,2,7.818,"No",95.72,382880.75,1879.456
52000,50,4.135,5,6.642,"No",229.58,11938309.6,545.858
3000,45,1,1,5.737,"No",38.76,116270,1387.077
2000,70,2,5,6.799,"No",282.81,565614,1879.456
8900,44,3.483,4.831,7.407,"No",154.78,1377532.1,1098.788
10000,144,2,3.5,7.629,"No",508.92,5089184.8,1130.475
2200,60,0.455,1.818,6.681,"No",71.5,157291.05,1868.403
3200,45,1.25,1.875,3.081,"Yes",111.69,357409.85,1274.256
2500,70,3.2,6.8,7.191,"No",86.08,215194,23.251
1e+05,40,0.3,0.46,3.556,"No",65.14,6513693.91,787.079
3800,45,2.105,3.158,7.074,"No",95.38,362437.25,1851.67
17750,77,4.056,2.93,7.499,"No",201.94,3584410.2,1023.608
96000,60,2.969,11.667,7.051,"No",359.19,34481809.25,177.345
85000,40,1.882,3.635,7.618,"No",139.91,11892297.55,316.084
3200,45,1.25,1.875,6.708,"No",111.05,355345.2,1069.328
17500,38,4,4.4,7.199,"No",409.5,7166166.35,1117.742
41000,40,1.22,0.171,5.799,"No",74.73,3064083.75,440.046
2700,35,1.111,2.593,7.222,"No",144.74,390797.05,2249.135
15250,168,0.197,0.197,0.717,"No",27.31,416488.8,1031.346
4150,45,1.687,2.169,6.889,"No",88.21,366058.7,21.56
80000,50,0.075,0.25,2.882,"No",74.07,5925824.1,157.112
3300,48,1.212,2.424,5.122,"Yes",482.46,1592125.5,1879.456
41500,72,0.964,1.783,2.044,"No",65.69,2726110.1,249.445
49500,73,4.04,13.232,6.513,"No",293.03,14505134.35,42.764
9000,168,1.111,0.778,6.874,"No",50.83,457458.05,1729.173
2200,84,2.273,3.182,6.286,"No",386.21,849660,1117.742
10500,60,1.048,3.333,3.324,"No",327.99,3443850.55,1145.08
5000,70,1.4,1.6,7.102,"No",154.6,773021.2,810.405
4450,40,1.348,1.573,2.124,"No",54.11,240806.05,1851.67
4700,42,1.915,3.83,7.678,"No",126.43,594244,961.783
59000,50,1.271,1.695,7.114,"No",194.85,11496340.8,63.074
4150,40,1.687,2.169,8.254,"Yes",252.44,1047639.6,1879.456
18000,50,0.833,0.889,7.96,"No",41.31,743604.4,657.711
