"btype","exp","dependent","model","interaction","transform","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape","nrmse_iqr","nrmse_range","nrmse_mean"
"warehouse","E2","SOURCE_ENERGY","RegInt",4,"meanCent",420,57,57,0.846,0.822,71067014352638.5,8430125.406,3770239.166,0.94,94.708,5.903,96.435
"warehouse","E2","SOURCE_ENERGY","RegInt",4,"meanCent_logDV",420,57,57,0.608,0.547,6.5821668034952e+20,25655733868.855,1315576430.699,27.052,0,0,0
"warehouse","E2","SOURCE_EUI","RegInt",5,"meanCent",420,63,63,0.505,0.419,2737.05,52.317,34.753,0.85,85.388,11.152,70.014
"warehouse","E2","SOURCE_EUI","RegInt",5,"meanCent_logDV",420,63,63,0.46,0.366,3221.443,56.758,35.525,0.697,0,0,0
"warehouse","E2","SOURCE_ENERGY","RegInt",5,"meanCent",420,63,63,0.85,0.824,71562021809553.6,8459433.894,3807177.01,0.921,95.038,5.923,96.77
"warehouse","E2","SOURCE_ENERGY","RegInt",5,"meanCent_logDV",420,63,63,0.613,0.546,5.61956728715508e+20,23705626520.206,1255539899.982,26.551,0,0,0
"warehouse","E2","SOURCE_EUI","RegInt",6,"meanCent",420,64,64,0.505,0.418,2740.466,52.349,34.678,0.849,85.44,11.159,70.056
"warehouse","E2","SOURCE_EUI","RegInt",6,"meanCent_logDV",420,64,64,0.46,0.364,3234.046,56.869,35.553,0.697,0,0,0
"warehouse","E2","SOURCE_ENERGY","RegInt",6,"meanCent",420,64,64,0.852,0.825,72082752583116.4,8490156.217,3810986.472,0.915,95.383,5.945,97.122
"warehouse","E2","SOURCE_ENERGY","RegInt",6,"meanCent_logDV",420,64,64,0.614,0.546,5.12069373019362e+20,22628949887.685,1192719090.771,25.128,0,0,0
"warehouse","E3a","SOURCE_EUI","rpart",1,"meanCent",420,6,6,0.35,0.342,3310.089,57.533,38.368,1.121,93.901,12.264,76.994
"warehouse","E3a","SOURCE_EUI","rpart",1,"meanCent_logDV",420,6,6,0.147,0.137,4305.361,65.615,39.19,0.852,0,0,0
"warehouse","E3a","SOURCE_ENERGY","rpart",1,"meanCent",420,6,6,0.795,0.793,113642809468780,10660338.15,4486765.246,0.846,119.764,7.464,121.947
"warehouse","E3a","SOURCE_ENERGY","rpart",1,"meanCent_logDV",420,6,6,0.685,0.681,92977126627790.3,9642464.759,4045735.122,0.574,0,0,0
"warehouse","E3b","SOURCE_EUI","xgboost",1,"meanCent",420,6,6,0.425,0.418,3034.433,55.086,35.623,0.991,89.907,11.742,73.719
"warehouse","E3b","SOURCE_EUI","xgboost",1,"meanCent_logDV",420,6,6,0,-0.012,9219.75,96.02,70.721,0.893,0,0,0
"warehouse","E3b","SOURCE_ENERGY","xgboost",1,"meanCent",420,6,6,0.976,0.976,12313628954760.1,3509078.078,1755012.747,0.565,39.423,2.457,40.142
"warehouse","E3b","SOURCE_ENERGY","xgboost",1,"meanCent_logDV",420,6,6,0,-0.012,347788702309951,18649093.874,8741736.045,1,0,0,0
"hotel","E1","SOURCE_EUI","Reg",1,"meanCent",104,8,8,0.54,0.507,3218.719,56.734,44.22,0.25,51.437,17.712,30.777
"hotel","E1","SOURCE_EUI","Reg",1,"meanCent_logDV",104,8,8,0.534,0.5,3758.745,61.309,46.403,0.248,0,0,0
"hotel","E1","SOURCE_ENERGY","Reg",1,"meanCent",104,8,8,0.896,0.888,183674576201346,13552659.377,9300485.937,0.368,28.081,9.319,33.02
"hotel","E1","SOURCE_ENERGY","Reg",1,"meanCent_logDV",104,8,8,0.785,0.77,73263954106579184,270673149.955,67467671.742,0.869,0,0,0
"hotel","E2","SOURCE_EUI","RegInt",2,"meanCent",104,29,29,0.663,0.537,2738.546,52.331,40.028,0.226,47.445,16.337,28.388
"hotel","E2","SOURCE_EUI","RegInt",2,"meanCent_logDV",104,29,29,0.678,0.557,3192.75,56.504,42.178,0.226,0,0,0
"hotel","E2","SOURCE_ENERGY","RegInt",2,"meanCent",104,29,29,0.953,0.935,127509219902540,11291998.047,7490974.231,0.231,23.397,7.764,27.512
"hotel","E2","SOURCE_ENERGY","RegInt",2,"meanCent_logDV",104,29,29,0.916,0.885,4150358934583136,64423279.446,24693749.918,0.446,0,0,0
"hotel","E2","SOURCE_EUI","RegInt",3,"meanCent",104,64,64,0.85,0.613,2069.056,45.487,30.456,0.182,41.24,14.2,24.676
"hotel","E2","SOURCE_EUI","RegInt",3,"meanCent_logDV",104,64,64,0.847,0.606,2540.717,50.406,32.782,0.181,0,0,0
"hotel","E2","SOURCE_ENERGY","RegInt",3,"meanCent",104,64,64,0.973,0.931,69652768155349.8,8345823.396,4916744.166,0.164,17.293,5.738,20.334
"hotel","E2","SOURCE_ENERGY","RegInt",3,"meanCent_logDV",104,64,64,0.98,0.95,485924164101614,22043687.625,11351790.448,0.226,0,0,0
"hotel","E2","SOURCE_EUI","RegInt",4,"meanCent",104,99,99,0.991,0.814,220.029,14.833,7.222,0.038,13.448,4.631,8.047
"hotel","E2","SOURCE_EUI","RegInt",4,"meanCent_logDV",104,99,99,0.993,0.851,273.291,16.532,7.768,0.038,0,0,0
"hotel","E2","SOURCE_ENERGY","RegInt",4,"meanCent",104,99,99,0.997,0.937,9440469622870.95,3072534.723,1502250.338,0.031,6.366,2.113,7.486
